Date,Zone ID,Locations Counted,Locations Accurate,Locations Total,Locations Used
2026-04-12,A,406,404,12000,10010
2026-04-12,B,433,431,16000,13767
2026-04-12,C,395,386,6000,4752
2026-04-13,A,431,429,12000,9974
2026-04-13,B,456,455,16000,13741
2026-04-13,C,399,392,6000,4775
2026-04-14,A,396,392,12000,10093
2026-04-14,B,448,447,16000,13943
2026-04-14,C,396,388,6000,4767
2026-04-15,A,441,439,12000,10021
2026-04-15,B,397,396,16000,13934
2026-04-15,C,409,403,6000,4722
2026-04-16,A,429,423,12000,9979
2026-04-16,B,436,435,16000,13938
2026-04-16,C,423,412,6000,4781
2026-04-17,A,447,445,12000,10120
2026-04-17,B,408,405,16000,13798
2026-04-17,C,438,428,6000,4817
2026-04-18,A,457,456,12000,10089
2026-04-18,B,448,446,16000,13781
2026-04-18,C,440,433,6000,4770
2026-04-19,A,412,410,12000,9983
2026-04-19,B,401,399,16000,13818
2026-04-19,C,388,372,6000,4767
2026-04-20,A,420,419,12000,10025
2026-04-20,B,388,385,16000,13907
2026-04-20,C,418,409,6000,4806
2026-04-21,A,457,455,12000,10064
2026-04-21,B,413,412,16000,13788
2026-04-21,C,441,432,6000,4796
2026-04-22,A,435,434,12000,10064
2026-04-22,B,457,452,16000,13839
2026-04-22,C,403,388,6000,4813
2026-04-23,A,431,431,12000,10112
2026-04-23,B,403,401,16000,13879
2026-04-23,C,380,370,6000,4739
2026-04-24,A,390,387,12000,10029
2026-04-24,B,391,387,16000,13916
2026-04-24,C,455,448,6000,4747
2026-04-25,A,380,380,12000,10029
2026-04-25,B,430,425,16000,13900
2026-04-25,C,406,394,6000,4761
2026-04-26,A,423,422,12000,10150
2026-04-26,B,438,433,16000,14001
2026-04-26,C,409,402,6000,4749
2026-04-27,A,392,392,12000,10113
2026-04-27,B,435,435,16000,13997
2026-04-27,C,444,434,6000,4758
2026-04-28,A,399,398,12000,10108
2026-04-28,B,453,450,16000,13944
2026-04-28,C,381,377,6000,4817
2026-04-29,A,393,393,12000,10095
2026-04-29,B,402,400,16000,13913
2026-04-29,C,411,406,6000,4834
2026-04-30,A,406,405,12000,10052
2026-04-30,B,414,413,16000,13973
2026-04-30,C,453,437,6000,4777
2026-05-01,A,420,419,12000,10065
2026-05-01,B,441,438,16000,13874
2026-05-01,C,401,393,6000,4784
2026-05-02,A,404,403,12000,10104
2026-05-02,B,430,427,16000,14057
2026-05-02,C,410,401,6000,4785
2026-05-03,A,460,459,12000,10179
2026-05-03,B,433,431,16000,13918
2026-05-03,C,414,409,6000,4841
2026-05-04,A,414,413,12000,10172
2026-05-04,B,386,385,16000,13825
2026-05-04,C,456,451,6000,4828
2026-05-05,A,386,385,12000,10135
2026-05-05,B,384,384,16000,13927
2026-05-05,C,425,420,6000,4758
2026-05-06,A,445,442,12000,10128
2026-05-06,B,455,454,16000,13831
2026-05-06,C,398,389,6000,4818
2026-05-07,A,444,444,12000,10077
2026-05-07,B,452,450,16000,14048
2026-05-07,C,446,435,6000,4832
2026-05-08,A,446,444,12000,10080
2026-05-08,B,446,443,16000,14070
2026-05-08,C,399,389,6000,4771
2026-05-09,A,441,441,12000,10101
2026-05-09,B,399,395,16000,14008
2026-05-09,C,449,438,6000,4807
2026-05-10,A,434,430,12000,10077
2026-05-10,B,429,427,16000,13919
2026-05-10,C,380,374,6000,4829
2026-05-11,A,399,396,12000,10053
2026-05-11,B,429,423,16000,13947
2026-05-11,C,392,383,6000,4772
2026-05-12,A,433,431,12000,10027
2026-05-12,B,439,439,16000,13873
2026-05-12,C,432,424,6000,4848
2026-05-13,A,394,394,12000,10128
2026-05-13,B,441,438,16000,13905
2026-05-13,C,456,449,6000,4824
2026-05-14,A,440,440,12000,10060
2026-05-14,B,457,456,16000,14073
2026-05-14,C,447,437,6000,4793
2026-05-15,A,433,431,12000,10112
2026-05-15,B,423,422,16000,13883
2026-05-15,C,427,415,6000,4783
2026-05-16,A,451,450,12000,10123
2026-05-16,B,449,447,16000,13907
2026-05-16,C,445,431,6000,4834
2026-05-17,A,421,421,12000,10072
2026-05-17,B,413,409,16000,13998
2026-05-17,C,388,377,6000,4801
2026-05-18,A,437,436,12000,10189
2026-05-18,B,388,382,16000,13997
2026-05-18,C,457,449,6000,4837
2026-05-19,A,460,460,12000,10130
2026-05-19,B,398,398,16000,14081
2026-05-19,C,419,412,6000,4813
2026-05-20,A,391,389,12000,10208
2026-05-20,B,401,400,16000,14137
2026-05-20,C,448,441,6000,4811
2026-05-21,A,454,454,12000,10178
2026-05-21,B,423,419,16000,13977
2026-05-21,C,392,383,6000,4835
2026-05-22,A,388,387,12000,10241
2026-05-22,B,425,425,16000,14010
2026-05-22,C,417,408,6000,4844
2026-05-23,A,454,451,12000,10248
2026-05-23,B,451,451,16000,13934
2026-05-23,C,392,384,6000,4853
2026-05-24,A,406,405,12000,10086
2026-05-24,B,392,391,16000,14031
2026-05-24,C,458,447,6000,4888
2026-05-25,A,387,387,12000,10087
2026-05-25,B,427,426,16000,14059
2026-05-25,C,380,371,6000,4846
2026-05-26,A,446,445,12000,10122
2026-05-26,B,398,395,16000,14077
2026-05-26,C,380,374,6000,4879
2026-05-27,A,417,416,12000,10244
2026-05-27,B,438,435,16000,14076
2026-05-27,C,447,438,6000,4896
2026-05-28,A,413,413,12000,10241
2026-05-28,B,413,413,16000,14038
2026-05-28,C,441,435,6000,4843
2026-05-29,A,402,397,12000,10249
2026-05-29,B,431,428,16000,14008
2026-05-29,C,404,397,6000,4858
2026-05-30,A,413,410,12000,10287
2026-05-30,B,438,437,16000,13972
2026-05-30,C,460,450,6000,4826
2026-05-31,A,435,433,12000,10172
2026-05-31,B,442,440,16000,13959
2026-05-31,C,382,371,6000,4875
2026-06-01,A,427,426,12000,10301
2026-06-01,B,431,427,16000,13970
2026-06-01,C,387,382,6000,4872
2026-06-02,A,382,380,12000,10251
2026-06-02,B,458,454,16000,13976
2026-06-02,C,401,393,6000,4859
2026-06-03,A,403,403,12000,10113
2026-06-03,B,405,399,16000,14032
2026-06-03,C,414,406,6000,4899
2026-06-04,A,456,453,12000,10162
2026-06-04,B,406,404,16000,14019
2026-06-04,C,412,407,6000,4872
2026-06-05,A,447,444,12000,10152
2026-06-05,B,382,380,16000,14153
2026-06-05,C,439,430,6000,4882
2026-06-06,A,390,387,12000,10227
2026-06-06,B,433,431,16000,14041
2026-06-06,C,411,405,6000,4912
2026-06-07,A,430,428,12000,10310
2026-06-07,B,400,400,16000,14225
2026-06-07,C,458,443,6000,4918
2026-06-08,A,405,405,12000,10191
2026-06-08,B,443,440,16000,14146
2026-06-08,C,386,374,6000,4921
2026-06-09,A,407,406,12000,10307
2026-06-09,B,454,454,16000,14060
2026-06-09,C,410,398,6000,4876
2026-06-10,A,460,460,12000,10220
2026-06-10,B,396,394,16000,14262
2026-06-10,C,411,403,6000,4836
2026-06-11,A,450,449,12000,10151
2026-06-11,B,434,428,16000,14257
2026-06-11,C,416,408,6000,4918
2026-06-12,A,384,383,12000,10322
2026-06-12,B,434,431,16000,14041
2026-06-12,C,459,448,6000,4841
2026-06-13,A,388,387,12000,10182
2026-06-13,B,429,428,16000,14181
2026-06-13,C,439,426,6000,4921
2026-06-14,A,397,395,12000,10196
2026-06-14,B,394,390,16000,14065
2026-06-14,C,411,401,6000,4860
2026-06-15,A,411,407,12000,10354
2026-06-15,B,430,426,16000,14064
2026-06-15,C,434,428,6000,4864
2026-06-16,A,425,423,12000,10159
2026-06-16,B,407,405,16000,14161
2026-06-16,C,444,438,6000,4846
2026-06-17,A,416,413,12000,10205
2026-06-17,B,445,442,16000,14073
2026-06-17,C,423,418,6000,4844
2026-06-18,A,400,397,12000,10291
2026-06-18,B,439,437,16000,14049
2026-06-18,C,447,434,6000,4862
2026-06-19,A,411,407,12000,10327
2026-06-19,B,452,450,16000,14268
2026-06-19,C,448,439,6000,4855
2026-06-20,A,388,386,12000,10353
2026-06-20,B,423,418,16000,14126
2026-06-20,C,399,393,6000,4943
2026-06-21,A,429,428,12000,10333
2026-06-21,B,452,449,16000,14179
2026-06-21,C,380,373,6000,4897
2026-06-22,A,394,393,12000,10284
2026-06-22,B,428,427,16000,14206
2026-06-22,C,420,413,6000,4875
2026-06-23,A,439,439,12000,10239
2026-06-23,B,434,433,16000,14150
2026-06-23,C,419,411,6000,4869
2026-06-24,A,446,445,12000,10319
2026-06-24,B,412,411,16000,14209
2026-06-24,C,448,440,6000,4920
2026-06-25,A,409,409,12000,10321
2026-06-25,B,391,390,16000,14170
2026-06-25,C,391,384,6000,4913
2026-06-26,A,450,448,12000,10311
2026-06-26,B,453,450,16000,14302
2026-06-26,C,419,407,6000,4895
2026-06-27,A,443,439,12000,10282
2026-06-27,B,400,398,16000,14248
2026-06-27,C,393,379,6000,4882
2026-06-28,A,405,402,12000,10287
2026-06-28,B,392,392,16000,14138
2026-06-28,C,395,387,6000,4950
2026-06-29,A,439,433,12000,10238
2026-06-29,B,397,397,16000,14195
2026-06-29,C,452,443,6000,4922
2026-06-30,A,443,443,12000,10216
2026-06-30,B,439,437,16000,14185
2026-06-30,C,430,422,6000,4869
2026-07-01,A,383,381,12000,10241
2026-07-01,B,437,434,16000,14223
2026-07-01,C,440,428,6000,4948
2026-07-02,A,419,417,12000,10258
2026-07-02,B,417,416,16000,14238
2026-07-02,C,404,395,6000,4895
2026-07-03,A,429,428,12000,10260
2026-07-03,B,437,434,16000,14190
2026-07-03,C,388,378,6000,4938
2026-07-04,A,381,377,12000,10419
2026-07-04,B,438,436,16000,14269
2026-07-04,C,426,410,6000,4959
2026-07-05,A,422,422,12000,10278
2026-07-05,B,435,435,16000,14270
2026-07-05,C,420,409,6000,4932
2026-07-06,A,408,406,12000,10374
2026-07-06,B,402,400,16000,14322
2026-07-06,C,454,444,6000,4904
2026-07-07,A,388,387,12000,10282
2026-07-07,B,386,385,16000,14304
2026-07-07,C,386,378,6000,4918
2026-07-08,A,455,454,12000,10422
2026-07-08,B,418,412,16000,14260
2026-07-08,C,459,448,6000,4951
2026-07-09,A,454,453,12000,10262
2026-07-09,B,426,425,16000,14222
2026-07-09,C,386,376,6000,4976
2026-07-10,A,391,388,12000,10264
2026-07-10,B,427,425,16000,14208
2026-07-10,C,416,399,6000,4954
2026-07-11,A,384,384,12000,10371
2026-07-11,B,401,396,16000,14174
2026-07-11,C,410,398,6000,4950
2026-07-12,A,412,412,12000,10438
2026-07-12,B,422,420,16000,14180
2026-07-12,C,402,393,6000,4923
2026-07-13,A,422,420,12000,10394
2026-07-13,B,399,399,16000,14176
2026-07-13,C,432,415,6000,4906
2026-07-14,A,426,426,12000,10388
2026-07-14,B,451,450,16000,14314
2026-07-14,C,406,396,6000,4968
2026-07-15,A,394,392,12000,10401
2026-07-15,B,409,406,16000,14241
2026-07-15,C,416,412,6000,4925
2026-07-16,A,460,459,12000,10370
2026-07-16,B,426,424,16000,14200
2026-07-16,C,434,423,6000,4911
2026-07-17,A,455,453,12000,10384
2026-07-17,B,420,416,16000,14459
2026-07-17,C,421,411,6000,4972
2026-07-18,A,435,432,12000,10320
2026-07-18,B,392,391,16000,14339
2026-07-18,C,414,403,6000,4922
2026-07-19,A,451,450,12000,10491
2026-07-19,B,406,405,16000,14243
2026-07-19,C,433,425,6000,4925
2026-07-20,A,417,417,12000,10433
2026-07-20,B,450,443,16000,14373
2026-07-20,C,385,372,6000,4997
2026-07-21,A,438,436,12000,10395
2026-07-21,B,417,415,16000,14471
2026-07-21,C,423,412,6000,4928
2026-07-22,A,411,409,12000,10331
2026-07-22,B,381,379,16000,14486
2026-07-22,C,424,415,6000,4972
2026-07-23,A,424,422,12000,10337
2026-07-23,B,419,417,16000,14360
2026-07-23,C,404,392,6000,4985
2026-07-24,A,457,452,12000,10352
2026-07-24,B,382,380,16000,14242
2026-07-24,C,443,434,6000,4959
2026-07-25,A,433,430,12000,10469
2026-07-25,B,396,395,16000,14360
2026-07-25,C,442,428,6000,4997
2026-07-26,A,444,441,12000,10456
2026-07-26,B,436,435,16000,14382
2026-07-26,C,458,453,6000,4937
2026-07-27,A,390,386,12000,10386
2026-07-27,B,385,382,16000,14274
2026-07-27,C,400,392,6000,4954
2026-07-28,A,411,410,12000,10401
2026-07-28,B,384,381,16000,14493
2026-07-28,C,457,451,6000,4942
2026-07-29,A,438,435,12000,10526
2026-07-29,B,391,387,16000,14471
2026-07-29,C,445,435,6000,4986
2026-07-30,A,418,416,12000,10331
2026-07-30,B,437,436,16000,14461
2026-07-30,C,433,425,6000,4937
2026-07-31,A,447,444,12000,10525
2026-07-31,B,412,412,16000,14399
2026-07-31,C,459,451,6000,4989
2026-08-01,A,448,446,12000,10751
2026-08-01,B,405,404,16000,14751
2026-08-01,C,437,428,6000,5110
2026-08-02,A,400,397,12000,10777
2026-08-02,B,411,411,16000,14971
2026-08-02,C,404,395,6000,5119
2026-08-03,A,445,444,12000,10745
2026-08-03,B,414,411,16000,15040
2026-08-03,C,417,400,6000,5176
2026-08-04,A,456,453,12000,10844
2026-08-04,B,424,419,16000,14894
2026-08-04,C,398,390,6000,5209
2026-08-05,A,436,432,12000,10859
2026-08-05,B,420,418,16000,14920
2026-08-05,C,407,394,6000,5158
2026-08-06,A,383,382,12000,10762
2026-08-06,B,385,384,16000,14928
2026-08-06,C,390,381,6000,5157
2026-08-07,A,408,408,12000,10823
2026-08-07,B,460,452,16000,15059
2026-08-07,C,450,438,6000,5190
2026-08-08,A,428,426,12000,10806
2026-08-08,B,430,429,16000,14843
2026-08-08,C,426,422,6000,5197
2026-08-09,A,411,410,12000,10894
2026-08-09,B,405,403,16000,14808
2026-08-09,C,443,434,6000,5140
2026-08-10,A,425,425,12000,10924
2026-08-10,B,449,449,16000,14908
2026-08-10,C,419,411,6000,5225
2026-08-11,A,421,420,12000,10921
2026-08-11,B,399,398,16000,14955
2026-08-11,C,398,387,6000,5183
2026-08-12,A,446,439,12000,10838
2026-08-12,B,434,432,16000,14957
2026-08-12,C,408,399,6000,5229
2026-08-13,A,430,429,12000,10874
2026-08-13,B,428,424,16000,14932
2026-08-13,C,433,429,6000,5146
2026-08-14,A,393,392,12000,10804
2026-08-14,B,387,386,16000,14831
2026-08-14,C,380,373,6000,5168
2026-08-15,A,388,387,12000,10930
2026-08-15,B,383,382,16000,14961
2026-08-15,C,383,378,6000,5141
2026-08-16,A,429,427,12000,10881
2026-08-16,B,458,455,16000,14893
2026-08-16,C,446,442,6000,5193
2026-08-17,A,429,427,12000,10839
2026-08-17,B,433,430,16000,14935
2026-08-17,C,429,416,6000,5243
2026-08-18,A,413,408,12000,10949
2026-08-18,B,455,454,16000,14921
2026-08-18,C,392,381,6000,5170
2026-08-19,A,456,454,12000,10953
2026-08-19,B,433,431,16000,14925
2026-08-19,C,439,428,6000,5157
2026-08-20,A,431,429,12000,10850
2026-08-20,B,451,449,16000,15123
2026-08-20,C,405,391,6000,5214
2026-08-21,A,393,392,12000,10892
2026-08-21,B,458,456,16000,15020
2026-08-21,C,407,397,6000,5188
2026-08-22,A,427,427,12000,10852
2026-08-22,B,421,420,16000,15122
2026-08-22,C,395,389,6000,5245
2026-08-23,A,424,422,12000,10787
2026-08-23,B,428,427,16000,14860
2026-08-23,C,385,375,6000,5217
2026-08-24,A,401,401,12000,10854
2026-08-24,B,381,379,16000,15064
2026-08-24,C,408,398,6000,5179
2026-08-25,A,434,432,12000,10854
2026-08-25,B,397,397,16000,15002
2026-08-25,C,453,446,6000,5185
2026-08-26,A,406,406,12000,10977
2026-08-26,B,396,392,16000,14906
2026-08-26,C,429,419,6000,5224
2026-08-27,A,386,386,12000,10941
2026-08-27,B,404,402,16000,15105
2026-08-27,C,384,376,6000,5235
2026-08-28,A,387,386,12000,10942
2026-08-28,B,429,427,16000,14901
2026-08-28,C,426,416,6000,5242
2026-08-29,A,385,384,12000,10995
2026-08-29,B,415,413,16000,15137
2026-08-29,C,419,414,6000,5249
2026-08-30,A,449,449,12000,10956
2026-08-30,B,442,440,16000,15121
2026-08-30,C,440,432,6000,5233
2026-08-31,A,427,426,12000,10820
2026-08-31,B,424,421,16000,14981
2026-08-31,C,439,429,6000,5178
