Date,Hour,Team ID,Units,Direct Hours,Indirect Hours,Idle Hours,Standard Hours,New Hire Share,Travel Distance
2026-01-01,3,PCK-B-N,737,7.805,1.393,0.802,6.145,0.2,10004
2026-01-01,4,PCK-B-N,737,7.79,0.973,1.237,6.145,0.2,10543
2026-01-01,5,PCK-B-N,737,6.763,1.274,1.964,6.145,0.2,9989
2026-01-01,8,PCK-C-D,715,7.804,1.529,2.668,5.956,0.1,18064
2026-01-01,9,PCK-C-D,794,8.438,1.449,2.113,6.618,0.1,19895
2026-01-01,10,PCK-C-D,794,8.644,1.462,1.894,6.618,0.1,20090
2026-01-01,11,PCK-C-D,794,8.529,1.318,2.153,6.618,0.1,19973
2026-01-01,12,PCK-C-D,397,4.04,0.756,1.204,3.309,0.1,9970
2026-01-01,13,PCK-C-D,794,8.556,1.184,2.259,6.618,0.1,20295
2026-01-01,14,PCK-C-D,794,8.022,1.662,2.316,6.618,0.1,19985
2026-01-01,15,PCK-C-D,794,8.18,1.164,2.655,6.618,0.1,20827
2026-01-01,16,PCK-C-D,794,8.284,1.619,2.098,6.618,0.1,20253
2026-01-01,17,PCK-C-D,794,8.074,1.512,2.414,6.618,0.1,20362
2026-01-01,20,PCK-C-N,511,6.043,0.894,2.063,4.254,0.15,13528
2026-01-01,21,PCK-C-N,567,6.202,1.06,1.738,4.727,0.15,14740
2026-01-01,22,PCK-C-N,567,6.212,1.017,1.77,4.727,0.15,14631
2026-01-01,23,PCK-C-N,567,6.143,0.916,1.941,4.727,0.15,14526
2026-01-01,0,PCK-C-N,284,3.165,0.59,0.745,2.363,0.15,7386
2026-01-01,1,PCK-C-N,567,6.351,1.082,1.567,4.727,0.15,14862
2026-01-01,2,PCK-C-N,567,7.153,0.982,0.866,4.727,0.15,14304
2026-01-01,3,PCK-C-N,567,6.944,0.869,1.187,4.727,0.15,14875
2026-01-01,4,PCK-C-N,567,6.946,1.223,0.831,4.727,0.15,14500
2026-01-01,5,PCK-C-N,567,6.256,1.095,1.649,4.727,0.15,14646
2026-01-01,8,PAK-D-1,1838,13.338,1.872,3.79,12.252,0.1,0
2026-01-01,9,PAK-D-1,2042,13.544,1.809,3.647,13.613,0.1,0
2026-01-01,10,PAK-D-1,2042,14.082,2.465,2.453,13.613,0.1,0
2026-01-01,11,PAK-D-1,2042,13.907,1.791,3.301,13.613,0.1,0
2026-01-01,12,PAK-D-1,1021,6.823,1.251,1.426,6.807,0.1,0
2026-01-01,13,PAK-D-1,2042,14.186,2.624,2.19,13.613,0.1,0
2026-01-01,14,PAK-D-1,2042,13.74,2.602,2.658,13.613,0.1,0
2026-01-01,15,PAK-D-1,2042,13.884,2.598,2.518,13.613,0.1,0
2026-01-01,16,PAK-D-1,2042,14.139,2.291,2.57,13.613,0.1,0
2026-01-01,17,PAK-D-1,2042,14.147,2.366,2.487,13.613,0.1,0
2026-01-01,8,PAK-D-2,1225,9.8,1.899,2.3,8.168,0.25,0
2026-01-01,9,PAK-D-2,1361,9.898,1.714,2.388,9.076,0.25,0
2026-01-01,10,PAK-D-2,1361,9.442,1.898,2.661,9.076,0.25,0
2026-01-01,11,PAK-D-2,1361,9.691,1.582,2.726,9.076,0.25,0
2026-01-01,12,PAK-D-2,681,4.977,0.902,1.121,4.538,0.25,0
2026-01-01,13,PAK-D-2,1361,9.831,1.519,2.65,9.076,0.25,0
2026-01-01,14,PAK-D-2,1361,9.475,1.531,2.994,9.076,0.25,0
2026-01-01,15,PAK-D-2,1361,9.937,1.372,2.691,9.076,0.25,0
2026-01-01,16,PAK-D-2,1361,9.783,1.555,2.662,9.076,0.25,0
2026-01-01,17,PAK-D-2,1361,9.54,1.652,2.808,9.076,0.25,0
2026-01-01,20,PAK-N-1,2042,16.351,3.184,4.465,13.613,0.18,0
2026-01-01,21,PAK-N-1,2269,16.098,2.581,5.321,15.126,0.18,0
2026-01-01,22,PAK-N-1,2269,16.906,3.35,3.745,15.126,0.18,0
2026-01-01,23,PAK-N-1,2269,16.319,2.505,5.176,15.126,0.18,0
2026-01-01,0,PAK-N-1,1134,8.311,1.645,2.044,7.563,0.18,0
2026-01-01,1,PAK-N-1,2269,16.199,2.186,5.615,15.126,0.18,0
2026-01-01,2,PAK-N-1,2269,18.336,2.697,2.967,15.126,0.18,0
2026-01-01,3,PAK-N-1,2269,19.348,3.068,1.584,15.126,0.18,0
2026-01-01,4,PAK-N-1,2269,18.022,2.624,3.355,15.126,0.18,0
2026-01-01,5,PAK-N-1,2269,16.197,2.709,5.094,15.126,0.18,0
2026-01-01,8,SHP-D,2961,7.557,1.374,2.069,7.05,0.1,0
2026-01-01,9,SHP-D,3290,8.304,1.223,1.474,7.833,0.1,0
2026-01-01,10,SHP-D,3290,7.863,1.197,1.94,7.833,0.1,0
2026-01-01,11,SHP-D,3290,8.102,1.273,1.625,7.833,0.1,0
2026-01-01,12,SHP-D,1645,4.021,0.585,0.893,3.917,0.1,0
2026-01-01,13,SHP-D,3290,7.909,1.153,1.938,7.833,0.1,0
2026-01-01,14,SHP-D,3290,7.77,1.433,1.797,7.833,0.1,0
2026-01-01,15,SHP-D,3290,7.841,1.199,1.96,7.833,0.1,0
2026-01-01,16,SHP-D,3290,8.379,1.076,1.545,7.833,0.1,0
2026-01-01,17,SHP-D,3290,8.079,1.032,1.889,7.833,0.1,0
2026-01-01,20,SHP-N,2144,5.782,0.825,2.393,5.105,0.1,0
2026-01-01,21,SHP-N,2382,6.067,0.846,2.087,5.672,0.1,0
2026-01-01,22,SHP-N,2382,6.185,0.946,1.869,5.672,0.1,0
2026-01-01,23,SHP-N,2382,6.251,1.058,1.691,5.672,0.1,0
2026-01-01,0,SHP-N,1191,3.125,0.566,0.81,2.836,0.1,0
2026-01-01,1,SHP-N,2382,6.133,1.037,1.829,5.672,0.1,0
2026-01-01,2,SHP-N,2382,6.656,1.018,1.326,5.672,0.1,0
2026-01-01,3,SHP-N,2382,6.77,1.121,1.109,5.672,0.1,0
2026-01-01,4,SHP-N,2382,7.102,0.967,0.931,5.672,0.1,0
2026-01-01,5,SHP-N,2382,5.925,0.883,2.192,5.672,0.1,0
2026-01-01,8,RCV-D,3062,17.465,3.108,6.427,16.114,0.12,0
2026-01-01,9,RCV-D,3402,18.91,2.892,5.198,17.904,0.12,0
2026-01-01,10,RCV-D,3402,18.909,3.48,4.611,17.904,0.12,0
2026-01-01,11,RCV-D,3402,18.424,2.572,6.004,17.904,0.12,0
2026-01-01,12,RCV-D,1701,8.949,1.873,2.678,8.952,0.12,0
2026-01-01,13,RCV-D,3402,19.277,2.722,5.001,17.904,0.12,0
2026-01-01,14,RCV-D,3402,18.602,3.77,4.628,17.904,0.12,0
2026-01-01,15,RCV-D,3402,18.066,2.54,6.394,17.904,0.12,0
2026-01-01,16,RCV-D,3402,18.795,3.186,5.019,17.904,0.12,0
2026-01-01,17,RCV-D,3402,18.729,2.631,5.64,17.904,0.12,0
2026-01-01,20,RCV-N,1312,8.078,1.534,3.388,6.906,0.2,0
2026-01-01,21,RCV-N,1458,8.288,1.635,3.077,7.673,0.2,0
2026-01-01,22,RCV-N,1458,8.273,1.738,2.989,7.673,0.2,0
2026-01-01,23,RCV-N,1458,8.526,1.323,3.151,7.673,0.2,0
2026-01-01,0,RCV-N,729,4.269,0.613,1.618,3.837,0.2,0
2026-01-01,1,RCV-N,1458,8.137,1.375,3.489,7.673,0.2,0
2026-01-01,2,RCV-N,1458,9.258,1.439,2.303,7.673,0.2,0
2026-01-01,3,RCV-N,1458,9.509,1.214,2.277,7.673,0.2,0
2026-01-01,4,RCV-N,1458,9.633,1.603,1.764,7.673,0.2,0
2026-01-01,5,RCV-N,1458,8.563,1.497,2.939,7.673,0.2,0
2026-01-01,8,PUT-AB-D,2712,21.794,3.506,7.7,20.859,0.1,26528
2026-01-01,9,PUT-AB-D,3013,21.904,4.435,6.661,23.177,0.1,28564
2026-01-01,10,PUT-AB-D,3013,22.261,2.984,7.754,23.177,0.1,28886
2026-01-01,11,PUT-AB-D,3013,23.379,4.569,5.052,23.177,0.1,27882
2026-01-01,12,PUT-AB-D,1507,11.19,2.143,3.168,11.588,0.1,14264
2026-01-01,13,PUT-AB-D,3013,22.385,4.363,6.252,23.177,0.1,28769
2026-01-01,14,PUT-AB-D,3013,22.251,3.874,6.875,23.177,0.1,28180
2026-01-01,15,PUT-AB-D,3013,22.29,4.287,6.422,23.177,0.1,28394
2026-01-01,16,PUT-AB-D,3013,22.578,4.583,5.839,23.177,0.1,28564
2026-01-01,17,PUT-AB-D,3013,22.644,3.402,6.954,23.177,0.1,28558
2026-01-01,20,PUT-C-N,1662,18.281,2.759,7.961,12.785,0.2,43480
2026-01-01,21,PUT-C-N,1847,18.96,3.016,7.024,14.205,0.2,48894
2026-01-01,22,PUT-C-N,1847,19.066,3.958,5.976,14.205,0.2,47814
2026-01-01,23,PUT-C-N,1847,18.77,3.738,6.492,14.205,0.2,46743
2026-01-01,0,PUT-C-N,923,9.873,1.327,3.3,7.103,0.2,23578
2026-01-01,1,PUT-C-N,1847,18.653,4.021,6.327,14.205,0.2,47901
2026-01-01,2,PUT-C-N,1847,21.174,3.841,3.985,14.205,0.2,47421
2026-01-01,3,PUT-C-N,1847,22.38,2.823,3.797,14.205,0.2,47221
2026-01-01,4,PUT-C-N,1847,21.958,3.113,3.929,14.205,0.2,49170
2026-01-01,5,PUT-C-N,1847,19.513,2.962,6.524,14.205,0.2,47411
2026-01-01,8,CNT-B-D,290,0.911,0.248,0.84,0.806,0.05,3992
2026-01-01,9,CNT-B-D,323,0.938,0.185,0.877,0.896,0.05,4632
2026-01-01,10,CNT-B-D,323,0.887,0.207,0.906,0.896,0.05,4472
2026-01-01,11,CNT-B-D,323,0.899,0.255,0.846,0.896,0.05,4619
2026-01-01,12,CNT-B-D,161,0.454,0.102,0.443,0.448,0.05,2266
2026-01-01,13,CNT-B-D,323,0.902,0.184,0.914,0.896,0.05,4421
2026-01-01,14,CNT-B-D,323,0.884,0.221,0.895,0.896,0.05,4452
2026-01-01,15,CNT-B-D,323,0.92,0.271,0.809,0.896,0.05,4569
2026-01-01,16,CNT-B-D,323,0.894,0.231,0.876,0.896,0.05,4466
2026-01-01,17,CNT-B-D,323,0.915,0.275,0.811,0.896,0.05,4438
2026-01-02,8,PCK-A-D,1251,10.969,1.819,4.213,10.424,0.1,11716
2026-01-02,9,PCK-A-D,1390,11.621,2.347,3.032,11.583,0.1,13686
2026-01-02,10,PCK-A-D,1390,11.321,1.814,3.866,11.583,0.1,13145
2026-01-02,11,PCK-A-D,1390,11.714,1.687,3.599,11.583,0.1,12926
2026-01-02,12,PCK-A-D,695,5.753,0.901,1.846,5.791,0.1,6669
2026-01-02,13,PCK-A-D,1390,11.161,2.146,3.693,11.583,0.1,12954
2026-01-02,14,PCK-A-D,1390,11.346,1.787,3.867,11.583,0.1,13058
2026-01-02,15,PCK-A-D,1390,11.41,2.202,3.388,11.583,0.1,12895
2026-01-02,16,PCK-A-D,1390,11.429,2.092,3.479,11.583,0.1,13427
2026-01-02,17,PCK-A-D,1390,11.639,2.088,3.273,11.583,0.1,12995
2026-01-02,20,PCK-A-N,962,8.472,1.348,4.18,8.019,0.15,9390
2026-01-02,21,PCK-A-N,1069,9.398,1.37,3.231,8.91,0.15,9956
2026-01-02,22,PCK-A-N,1069,8.756,1.665,3.579,8.91,0.15,10117
2026-01-02,23,PCK-A-N,1069,9.177,1.896,2.927,8.91,0.15,10488
2026-01-02,0,PCK-A-N,535,4.59,0.844,1.565,4.455,0.15,5149
2026-01-02,1,PCK-A-N,1069,9.085,1.668,3.247,8.91,0.15,9997
2026-01-02,2,PCK-A-N,1069,10.66,1.64,1.7,8.91,0.15,10186
2026-01-02,3,PCK-A-N,1069,10.151,1.55,2.299,8.91,0.15,10509
2026-01-02,4,PCK-A-N,1069,10.08,1.501,2.419,8.91,0.15,10387
2026-01-02,5,PCK-A-N,1069,9.415,1.876,2.709,8.91,0.15,10429
2026-01-02,8,PCK-B-D,818,7.384,1.125,3.491,6.816,0.12,11655
2026-01-02,9,PCK-B-D,909,7.79,1.126,3.085,7.573,0.12,12972
2026-01-02,10,PCK-B-D,909,7.799,1.136,3.065,7.573,0.12,12565
2026-01-02,11,PCK-B-D,909,7.938,1.668,2.393,7.573,0.12,12983
2026-01-02,12,PCK-B-D,454,3.818,0.612,1.57,3.787,0.12,6223
2026-01-02,13,PCK-B-D,909,7.779,1.254,2.967,7.573,0.12,12661
2026-01-02,14,PCK-B-D,909,7.886,1.189,2.925,7.573,0.12,12692
2026-01-02,15,PCK-B-D,909,7.641,1.204,3.155,7.573,0.12,13145
2026-01-02,16,PCK-B-D,909,7.895,1.47,2.634,7.573,0.12,12742
2026-01-02,17,PCK-B-D,909,7.657,1.401,2.942,7.573,0.12,13058
2026-01-02,20,PCK-B-N,625,6.01,1.152,2.838,5.212,0.2,8926
2026-01-02,21,PCK-B-N,695,6.366,1.175,2.459,5.791,0.2,9983
2026-01-02,22,PCK-B-N,695,6.269,1.239,2.492,5.791,0.2,9756
2026-01-02,23,PCK-B-N,695,6.148,0.96,2.893,5.791,0.2,9931
2026-01-02,0,PCK-B-N,347,3.295,0.626,1.079,2.896,0.2,4984
2026-01-02,1,PCK-B-N,695,6.15,1.301,2.549,5.791,0.2,9646
2026-01-02,2,PCK-B-N,695,6.966,0.96,2.074,5.791,0.2,9561
2026-01-02,3,PCK-B-N,695,6.969,0.96,2.071,5.791,0.2,9527
2026-01-02,4,PCK-B-N,695,7.452,1.126,1.422,5.791,0.2,9835
2026-01-02,5,PCK-B-N,695,6.199,1.177,2.624,5.791,0.2,9644
2026-01-02,8,PCK-C-D,674,7.871,1.508,2.621,5.613,0.1,17378
2026-01-02,9,PCK-C-D,748,7.692,1.39,2.918,6.237,0.1,19088
2026-01-02,10,PCK-C-D,748,7.869,1.522,2.609,6.237,0.1,19289
2026-01-02,11,PCK-C-D,748,7.556,1.192,3.253,6.237,0.1,19739
2026-01-02,12,PCK-C-D,374,4.028,0.79,1.182,3.118,0.1,10010
2026-01-02,13,PCK-C-D,748,8.099,1.323,2.578,6.237,0.1,19183
2026-01-02,14,PCK-C-D,748,7.832,1.346,2.822,6.237,0.1,19995
2026-01-02,15,PCK-C-D,748,7.937,1.153,2.91,6.237,0.1,19067
2026-01-02,16,PCK-C-D,748,7.54,1.567,2.893,6.237,0.1,20153
2026-01-02,17,PCK-C-D,748,7.816,1.576,2.608,6.237,0.1,19440
2026-01-02,20,PCK-C-N,481,5.871,1.207,1.922,4.009,0.15,12460
2026-01-02,21,PCK-C-N,535,5.72,0.937,2.343,4.455,0.15,13904
2026-01-02,22,PCK-C-N,535,5.933,0.88,2.187,4.455,0.15,13773
2026-01-02,23,PCK-C-N,535,5.672,1.015,2.313,4.455,0.15,14150
2026-01-02,0,PCK-C-N,267,2.972,0.43,1.098,2.227,0.15,6960
2026-01-02,1,PCK-C-N,535,6.053,1.086,1.861,4.455,0.15,14094
2026-01-02,2,PCK-C-N,535,6.697,0.988,1.315,4.455,0.15,14190
2026-01-02,3,PCK-C-N,535,6.892,1.162,0.945,4.455,0.15,14226
2026-01-02,4,PCK-C-N,535,6.849,1.07,1.081,4.455,0.15,13888
2026-01-02,5,PCK-C-N,535,5.699,0.825,2.476,4.455,0.15,14371
2026-01-02,8,PAK-D-1,1732,12.493,2.453,4.054,11.547,0.1,0
2026-01-02,9,PAK-D-1,1924,13.675,1.875,3.45,12.83,0.1,0
2026-01-02,10,PAK-D-1,1924,13.061,2.206,3.733,12.83,0.1,0
2026-01-02,11,PAK-D-1,1924,12.944,1.968,4.088,12.83,0.1,0
2026-01-02,12,PAK-D-1,962,6.662,1.236,1.603,6.415,0.1,0
2026-01-02,13,PAK-D-1,1924,13.322,2.367,3.311,12.83,0.1,0
2026-01-02,14,PAK-D-1,1924,13.405,2.109,3.486,12.83,0.1,0
2026-01-02,15,PAK-D-1,1924,13.66,1.774,3.566,12.83,0.1,0
2026-01-02,16,PAK-D-1,1924,13.112,2.268,3.619,12.83,0.1,0
2026-01-02,17,PAK-D-1,1924,12.755,1.805,4.439,12.83,0.1,0
2026-01-02,8,PAK-D-2,1155,8.703,1.641,3.657,7.698,0.25,0
2026-01-02,9,PAK-D-2,1283,9.32,1.348,3.332,8.553,0.25,0
2026-01-02,10,PAK-D-2,1283,9.119,1.764,3.117,8.553,0.25,0
2026-01-02,11,PAK-D-2,1283,9.621,1.364,3.015,8.553,0.25,0
2026-01-02,12,PAK-D-2,641,4.548,0.786,1.666,4.277,0.25,0
2026-01-02,13,PAK-D-2,1283,9.409,1.276,3.316,8.553,0.25,0
2026-01-02,14,PAK-D-2,1283,9.156,1.438,3.407,8.553,0.25,0
2026-01-02,15,PAK-D-2,1283,9.001,1.474,3.525,8.553,0.25,0
2026-01-02,16,PAK-D-2,1283,9.484,1.37,3.147,8.553,0.25,0
2026-01-02,17,PAK-D-2,1283,9.408,1.767,2.825,8.553,0.25,0
2026-01-02,20,PAK-N-1,1924,15.4,3.161,5.439,12.83,0.18,0
2026-01-02,21,PAK-N-1,2138,15.899,3.053,5.048,14.255,0.18,0
2026-01-02,22,PAK-N-1,2138,15.002,3.305,5.693,14.255,0.18,0
2026-01-02,23,PAK-N-1,2138,15.054,2.338,6.608,14.255,0.18,0
2026-01-02,0,PAK-N-1,1069,7.911,1.171,2.918,7.128,0.18,0
2026-01-02,1,PAK-N-1,2138,15.057,2.55,6.393,14.255,0.18,0
2026-01-02,2,PAK-N-1,2138,17.793,2.357,3.85,14.255,0.18,0
2026-01-02,3,PAK-N-1,2138,17.007,2.192,4.801,14.255,0.18,0
2026-01-02,4,PAK-N-1,2138,17.736,3.099,3.165,14.255,0.18,0
2026-01-02,5,PAK-N-1,2138,15.562,2.486,5.952,14.255,0.18,0
2026-01-02,8,SHP-D,2791,7.33,1.359,2.311,6.644,0.1,0
2026-01-02,9,SHP-D,3101,7.548,1.133,2.32,7.382,0.1,0
2026-01-02,10,SHP-D,3101,7.432,1.24,2.328,7.382,0.1,0
2026-01-02,11,SHP-D,3101,7.777,1.04,2.183,7.382,0.1,0
2026-01-02,12,SHP-D,1550,3.882,0.727,0.89,3.691,0.1,0
2026-01-02,13,SHP-D,3101,7.789,1.354,1.857,7.382,0.1,0
2026-01-02,14,SHP-D,3101,7.914,1.155,1.931,7.382,0.1,0
2026-01-02,15,SHP-D,3101,7.75,1.342,1.907,7.382,0.1,0
2026-01-02,16,SHP-D,3101,7.582,1.133,2.285,7.382,0.1,0
2026-01-02,17,SHP-D,3101,7.442,1.197,2.361,7.382,0.1,0
2026-01-02,20,SHP-N,2021,5.383,0.878,2.739,4.811,0.1,0
2026-01-02,21,SHP-N,2245,5.878,1.067,2.055,5.346,0.1,0
2026-01-02,22,SHP-N,2245,5.476,1.191,2.333,5.346,0.1,0
2026-01-02,23,SHP-N,2245,5.68,1.16,2.16,5.346,0.1,0
2026-01-02,0,SHP-N,1123,2.854,0.627,1.019,2.673,0.1,0
2026-01-02,1,SHP-N,2245,5.602,1.15,2.248,5.346,0.1,0
2026-01-02,2,SHP-N,2245,6.558,0.947,1.495,5.346,0.1,0
2026-01-02,3,SHP-N,2245,6.662,1.142,1.196,5.346,0.1,0
2026-01-02,4,SHP-N,2245,6.38,1.015,1.606,5.346,0.1,0
2026-01-02,5,SHP-N,2245,5.713,0.934,2.353,5.346,0.1,0
2026-01-02,8,RCV-D,3178,18.308,3.681,5.011,16.726,0.12,0
2026-01-02,9,RCV-D,3531,19.579,3.489,3.932,18.585,0.12,0
2026-01-02,10,RCV-D,3531,18.747,3.287,4.966,18.585,0.12,0
2026-01-02,11,RCV-D,3531,19.277,3.437,4.286,18.585,0.12,0
2026-01-02,12,RCV-D,1766,9.526,1.609,2.365,9.292,0.12,0
2026-01-02,13,RCV-D,3531,19.884,2.486,4.63,18.585,0.12,0
2026-01-02,14,RCV-D,3531,18.884,3.28,4.836,18.585,0.12,0
2026-01-02,15,RCV-D,3531,19.829,3.144,4.027,18.585,0.12,0
2026-01-02,16,RCV-D,3531,19.561,3.701,3.738,18.585,0.12,0
2026-01-02,17,RCV-D,3531,18.642,2.616,5.742,18.585,0.12,0
2026-01-02,20,RCV-N,1362,8.529,1.347,3.124,7.168,0.2,0
2026-01-02,21,RCV-N,1513,8.862,1.521,2.617,7.965,0.2,0
2026-01-02,22,RCV-N,1513,8.713,1.768,2.519,7.965,0.2,0
2026-01-02,23,RCV-N,1513,8.617,1.219,3.164,7.965,0.2,0
2026-01-02,0,RCV-N,757,4.259,0.587,1.653,3.982,0.2,0
2026-01-02,1,RCV-N,1513,8.533,1.281,3.186,7.965,0.2,0
2026-01-02,2,RCV-N,1513,9.914,1.771,1.315,7.965,0.2,0
2026-01-02,3,RCV-N,1513,10.194,1.213,1.593,7.965,0.2,0
2026-01-02,4,RCV-N,1513,10.0,1.387,1.613,7.965,0.2,0
2026-01-02,5,RCV-N,1513,9.017,1.623,2.36,7.965,0.2,0
2026-01-02,8,PUT-AB-D,2815,23.141,4.043,5.817,21.652,0.1,26809
2026-01-02,9,PUT-AB-D,3128,24.302,4.265,4.433,24.058,0.1,30105
2026-01-02,10,PUT-AB-D,3128,22.798,3.304,6.898,24.058,0.1,30010
2026-01-02,11,PUT-AB-D,3128,22.585,4.425,5.99,24.058,0.1,29918
2026-01-02,12,PUT-AB-D,1564,11.295,2.249,2.956,12.029,0.1,15276
2026-01-02,13,PUT-AB-D,3128,22.546,4.548,5.906,24.058,0.1,30543
2026-01-02,14,PUT-AB-D,3128,23.091,3.829,6.08,24.058,0.1,30317
2026-01-02,15,PUT-AB-D,3128,24.329,3.15,5.521,24.058,0.1,30229
2026-01-02,16,PUT-AB-D,3128,23.15,3.042,6.807,24.058,0.1,30139
2026-01-02,17,PUT-AB-D,3128,23.429,2.997,6.575,24.058,0.1,30199
2026-01-02,20,PUT-C-N,1725,19.36,2.715,6.926,13.271,0.2,45805
2026-01-02,21,PUT-C-N,1917,20.008,4.008,4.984,14.745,0.2,50705
2026-01-02,22,PUT-C-N,1917,20.258,3.905,4.837,14.745,0.2,49808
2026-01-02,23,PUT-C-N,1917,20.15,3.693,5.157,14.745,0.2,50277
2026-01-02,0,PUT-C-N,958,10.212,1.944,2.344,7.373,0.2,24985
2026-01-02,1,PUT-C-N,1917,20.403,3.775,4.821,14.745,0.2,51053
2026-01-02,2,PUT-C-N,1917,22.79,2.889,3.321,14.745,0.2,50759
2026-01-02,3,PUT-C-N,1917,22.939,3.623,2.438,14.745,0.2,48446
2026-01-02,4,PUT-C-N,1917,21.668,2.72,4.613,14.745,0.2,51197
2026-01-02,5,PUT-C-N,1917,20.08,2.782,6.137,14.745,0.2,50938
2026-01-02,8,CNT-B-D,305,0.953,0.187,0.86,0.847,0.05,4196
2026-01-02,9,CNT-B-D,339,0.933,0.207,0.86,0.941,0.05,4615
2026-01-02,10,CNT-B-D,339,0.942,0.248,0.81,0.941,0.05,4701
2026-01-02,11,CNT-B-D,339,0.934,0.211,0.855,0.941,0.05,4757
2026-01-02,12,CNT-B-D,169,0.468,0.112,0.42,0.471,0.05,2331
2026-01-02,13,CNT-B-D,339,0.946,0.249,0.805,0.941,0.05,4780
2026-01-02,14,CNT-B-D,339,0.933,0.265,0.802,0.941,0.05,4824
2026-01-02,15,CNT-B-D,339,0.953,0.261,0.785,0.941,0.05,4715
2026-01-02,16,CNT-B-D,339,0.93,0.211,0.859,0.941,0.05,4832
2026-01-02,17,CNT-B-D,339,0.983,0.263,0.754,0.941,0.05,4857
2026-01-03,8,PCK-A-D,1117,9.803,1.871,2.777,9.31,0.1,10708
2026-01-03,9,PCK-A-D,1241,10.402,1.319,2.729,10.345,0.1,11649
2026-01-03,10,PCK-A-D,1241,10.066,1.645,2.739,10.345,0.1,12047
2026-01-03,11,PCK-A-D,1241,9.787,1.488,3.175,10.345,0.1,11702
2026-01-03,12,PCK-A-D,621,5.182,0.964,1.079,5.172,0.1,5844
2026-01-03,13,PCK-A-D,1241,9.976,1.74,2.734,10.345,0.1,11601
2026-01-03,14,PCK-A-D,1241,10.365,1.494,2.59,10.345,0.1,11874
2026-01-03,15,PCK-A-D,1241,9.833,1.427,3.19,10.345,0.1,11959
2026-01-03,16,PCK-A-D,1241,10.005,1.443,3.002,10.345,0.1,11712
2026-01-03,17,PCK-A-D,1241,10.003,1.435,3.012,10.345,0.1,12176
2026-01-03,20,PCK-A-N,859,7.66,1.3,2.941,7.162,0.15,8315
2026-01-03,21,PCK-A-N,955,7.886,1.501,2.513,7.958,0.15,8884
