Receipt ID,Date,Supplier ID,Supplier,Arrival Hour,Units,Arrived On Time,Damage Free,Documents Correct,Dock To Stock Hours
R000104,2026-01-02,SUP10,Juniper Kitchen,14,1159,1,1,1,2.11
R000105,2026-01-02,SUP09,Iris Kids,12,265,1,1,1,2.89
R000106,2026-01-02,SUP01,Alder Foods,13,681,1,1,1,2.92
R000107,2026-01-02,SUP04,Delta Apparel,15,1060,1,1,1,2.25
R000108,2026-01-02,SUP02,Brightline Beauty,10,529,0,1,1,4.09
R000109,2026-01-02,SUP03,Cobalt Electronics,17,981,1,1,1,4.64
R000110,2026-01-02,SUP03,Cobalt Electronics,18,666,1,1,1,7.25
R000111,2026-01-02,SUP03,Cobalt Electronics,9,507,1,1,1,3.43
R000112,2026-01-02,SUP02,Brightline Beauty,15,394,1,1,1,3.95
R000113,2026-01-02,SUP09,Iris Kids,8,426,1,1,1,3.1
R000114,2026-01-02,SUP04,Delta Apparel,15,1037,1,1,1,2.73
R000115,2026-01-02,SUP04,Delta Apparel,11,640,1,1,1,2.96
R000116,2026-01-02,SUP08,Harbor Home,12,1007,1,1,1,2.89
R000117,2026-01-03,SUP06,Fjord Outdoor,18,1055,1,1,1,7.27
R000118,2026-01-03,SUP01,Alder Foods,16,1332,1,1,1,7.62
R000119,2026-01-03,SUP08,Harbor Home,19,253,1,1,1,7.07
R000120,2026-01-03,SUP01,Alder Foods,11,587,1,1,1,3.26
R000121,2026-01-03,SUP07,Granite Tools,12,1008,1,1,1,2.44
R000122,2026-01-03,SUP06,Fjord Outdoor,11,656,1,1,1,2.66
R000123,2026-01-03,SUP03,Cobalt Electronics,12,760,1,1,1,2.96
R000124,2026-01-03,SUP04,Delta Apparel,20,604,1,1,1,6.29
R000125,2026-01-03,SUP08,Harbor Home,13,253,1,1,1,2.08
R000126,2026-01-03,SUP10,Juniper Kitchen,10,1241,1,1,1,3.2
R000127,2026-01-03,SUP06,Fjord Outdoor,7,1334,1,1,1,2.71
R000128,2026-01-03,SUP10,Juniper Kitchen,16,542,1,1,1,6.78
R000129,2026-01-03,SUP02,Brightline Beauty,7,830,1,1,1,3.42
R000130,2026-01-03,SUP04,Delta Apparel,19,522,0,1,1,5.54
R000131,2026-01-03,SUP01,Alder Foods,15,510,1,1,1,3.97
R000132,2026-01-03,SUP09,Iris Kids,16,1144,1,1,1,4.71
R000133,2026-01-03,SUP02,Brightline Beauty,8,264,1,1,1,3.45
R000134,2026-01-03,SUP10,Juniper Kitchen,13,1364,1,1,1,2.18
R000135,2026-01-03,SUP02,Brightline Beauty,9,397,1,1,0,2.13
R000136,2026-01-03,SUP04,Delta Apparel,18,510,1,1,1,4.65
R000137,2026-01-03,SUP07,Granite Tools,20,1037,0,0,1,8.15
R000138,2026-01-03,SUP01,Alder Foods,15,488,1,1,1,3.78
R000139,2026-01-03,SUP01,Alder Foods,10,398,1,1,1,2.42
R000140,2026-01-03,SUP01,Alder Foods,11,458,1,1,1,2.77
R000141,2026-01-03,SUP05,Evergreen Pet,16,567,1,1,1,4.76
R000142,2026-01-03,SUP08,Harbor Home,7,949,1,1,1,2.19
R000143,2026-01-03,SUP05,Evergreen Pet,10,1139,0,1,1,3.2
R000144,2026-01-03,SUP06,Fjord Outdoor,12,423,0,1,1,2.12
R000145,2026-01-03,SUP06,Fjord Outdoor,18,1135,0,1,1,5.68
R000146,2026-01-03,SUP09,Iris Kids,11,1263,1,1,1,3.91
R000147,2026-01-03,SUP01,Alder Foods,10,1052,0,1,1,2.87
R000148,2026-01-03,SUP03,Cobalt Electronics,19,947,1,1,1,8.72
R000149,2026-01-03,SUP02,Brightline Beauty,8,999,1,1,1,2.26
R000150,2026-01-03,SUP01,Alder Foods,8,1082,0,1,0,3.8
R000151,2026-01-03,SUP08,Harbor Home,16,1029,1,1,1,8.35
R000152,2026-01-03,SUP01,Alder Foods,20,430,1,1,1,7.15
R000153,2026-01-03,SUP02,Brightline Beauty,7,727,1,1,1,3.73
R000154,2026-01-03,SUP10,Juniper Kitchen,17,522,1,1,1,7.65
R000155,2026-01-03,SUP01,Alder Foods,9,695,1,1,1,2.01
R000156,2026-01-03,SUP01,Alder Foods,6,1050,1,1,1,2.14
R000157,2026-01-03,SUP01,Alder Foods,7,1175,1,1,1,2.11
R000158,2026-01-03,SUP05,Evergreen Pet,10,897,1,1,1,2.26
R000159,2026-01-03,SUP10,Juniper Kitchen,9,678,1,1,1,3.25
R000160,2026-01-03,SUP04,Delta Apparel,10,1122,1,1,1,2.35
R000161,2026-01-03,SUP04,Delta Apparel,8,660,1,1,1,2.07
R000162,2026-01-03,SUP08,Harbor Home,20,363,1,1,1,6.75
R000163,2026-01-03,SUP04,Delta Apparel,15,876,1,1,1,2.99
R000164,2026-01-03,SUP09,Iris Kids,8,339,1,1,1,2.1
R000165,2026-01-03,SUP04,Delta Apparel,18,908,1,1,1,7.03
R000166,2026-01-03,SUP02,Brightline Beauty,13,1135,1,1,1,2.69
R000167,2026-01-03,SUP03,Cobalt Electronics,18,895,1,1,0,8.71
R000168,2026-01-03,SUP07,Granite Tools,8,698,1,1,0,2.51
R000169,2026-01-03,SUP05,Evergreen Pet,8,400,1,1,1,2.19
R000170,2026-01-03,SUP04,Delta Apparel,10,752,1,1,1,3.8
R000171,2026-01-03,SUP04,Delta Apparel,9,1348,1,1,1,2.64
R000172,2026-01-03,SUP01,Alder Foods,7,670,1,1,1,2.0
R000173,2026-01-03,SUP01,Alder Foods,8,902,0,1,1,3.39
R000174,2026-01-03,SUP03,Cobalt Electronics,7,499,1,1,1,2.42
R000175,2026-01-03,SUP04,Delta Apparel,10,852,1,1,1,2.97
R000176,2026-01-03,SUP02,Brightline Beauty,7,414,1,1,1,3.98
R000177,2026-01-03,SUP02,Brightline Beauty,11,542,1,1,1,2.47
R000178,2026-01-04,SUP04,Delta Apparel,18,390,1,1,1,8.42
R000179,2026-01-04,SUP08,Harbor Home,9,506,1,1,1,3.4
R000180,2026-01-04,SUP04,Delta Apparel,17,645,1,1,1,7.63
R000181,2026-01-04,SUP01,Alder Foods,16,843,1,1,1,7.17
R000182,2026-01-04,SUP02,Brightline Beauty,16,443,1,1,1,8.64
R000183,2026-01-04,SUP01,Alder Foods,16,425,1,1,1,6.01
R000184,2026-01-04,SUP06,Fjord Outdoor,10,1042,1,1,1,3.57
R000185,2026-01-04,SUP04,Delta Apparel,11,457,1,1,1,4.17
R000186,2026-01-04,SUP02,Brightline Beauty,7,503,1,1,1,3.2
R000187,2026-01-04,SUP10,Juniper Kitchen,12,424,1,1,0,3.37
R000188,2026-01-04,SUP04,Delta Apparel,14,583,1,1,1,3.17
R000189,2026-01-04,SUP07,Granite Tools,16,1086,0,1,1,7.39
R000190,2026-01-04,SUP01,Alder Foods,18,1369,1,1,1,4.61
R000191,2026-01-04,SUP03,Cobalt Electronics,11,1052,1,1,1,3.76
R000192,2026-01-04,SUP04,Delta Apparel,21,1286,1,1,1,6.41
R000193,2026-01-04,SUP07,Granite Tools,9,554,1,1,1,4.1
R000194,2026-01-04,SUP02,Brightline Beauty,16,594,0,1,1,7.8
R000195,2026-01-04,SUP06,Fjord Outdoor,12,1014,1,1,1,2.95
R000196,2026-01-04,SUP07,Granite Tools,10,1360,1,1,1,3.71
R000197,2026-01-04,SUP09,Iris Kids,16,617,1,1,1,4.59
R000198,2026-01-04,SUP04,Delta Apparel,10,1148,1,1,1,3.98
R000199,2026-01-04,SUP02,Brightline Beauty,20,957,1,1,1,6.22
R000200,2026-01-04,SUP09,Iris Kids,11,1101,1,1,1,3.46
R000201,2026-01-04,SUP05,Evergreen Pet,16,327,1,1,1,8.0
R000202,2026-01-04,SUP02,Brightline Beauty,13,1188,1,1,1,3.69
R000203,2026-01-04,SUP10,Juniper Kitchen,13,801,1,1,1,2.58
R000204,2026-01-04,SUP03,Cobalt Electronics,13,1265,1,1,1,2.73
R000205,2026-01-04,SUP08,Harbor Home,18,290,1,1,1,5.43
R000206,2026-01-04,SUP04,Delta Apparel,9,587,1,1,1,2.98
R000207,2026-01-04,SUP04,Delta Apparel,11,535,1,1,1,2.81
R000208,2026-01-04,SUP05,Evergreen Pet,10,1120,1,1,1,3.81
R000209,2026-01-04,SUP04,Delta Apparel,9,817,1,1,1,2.53
R000210,2026-01-04,SUP08,Harbor Home,9,607,1,1,1,2.09
R000211,2026-01-04,SUP04,Delta Apparel,9,1204,1,1,1,3.76
R000212,2026-01-04,SUP10,Juniper Kitchen,19,1049,1,1,1,5.04
R000213,2026-01-04,SUP03,Cobalt Electronics,8,589,1,1,1,2.92
R000214,2026-01-04,SUP09,Iris Kids,15,910,1,1,1,3.98
R000215,2026-01-04,SUP02,Brightline Beauty,13,834,1,1,1,4.13
R000216,2026-01-04,SUP08,Harbor Home,17,1167,1,1,1,6.12
R000217,2026-01-04,SUP07,Granite Tools,9,1115,1,0,1,2.3
R000218,2026-01-04,SUP05,Evergreen Pet,12,463,1,1,1,2.63
R000219,2026-01-04,SUP02,Brightline Beauty,19,491,1,1,1,5.97
R000220,2026-01-04,SUP07,Granite Tools,10,738,1,1,1,3.12
R000221,2026-01-04,SUP09,Iris Kids,16,400,1,1,1,6.04
R000222,2026-01-04,SUP10,Juniper Kitchen,12,568,1,1,1,3.11
R000223,2026-01-04,SUP05,Evergreen Pet,20,366,1,1,1,4.79
R000224,2026-01-04,SUP05,Evergreen Pet,10,1208,1,1,1,2.89
R000225,2026-01-04,SUP05,Evergreen Pet,11,1325,1,1,1,2.81
R000226,2026-01-04,SUP10,Juniper Kitchen,19,1046,1,1,1,7.67
R000227,2026-01-04,SUP08,Harbor Home,6,344,0,1,1,2.17
R000228,2026-01-05,SUP02,Brightline Beauty,12,456,1,1,1,3.76
R000229,2026-01-05,SUP06,Fjord Outdoor,12,505,1,1,1,2.32
R000230,2026-01-05,SUP04,Delta Apparel,15,393,1,1,1,3.51
R000231,2026-01-05,SUP03,Cobalt Electronics,6,935,1,1,1,2.85
R000232,2026-01-05,SUP02,Brightline Beauty,13,483,0,1,1,2.49
R000233,2026-01-05,SUP03,Cobalt Electronics,10,337,1,1,1,2.56
R000234,2026-01-05,SUP08,Harbor Home,13,546,1,1,1,2.93
R000235,2026-01-05,SUP03,Cobalt Electronics,7,1208,1,1,1,2.34
R000236,2026-01-05,SUP09,Iris Kids,17,1231,1,1,1,8.0
R000237,2026-01-05,SUP06,Fjord Outdoor,10,603,1,1,1,3.24
R000238,2026-01-05,SUP03,Cobalt Electronics,15,667,1,1,1,3.1
R000239,2026-01-05,SUP03,Cobalt Electronics,8,371,1,1,1,2.35
R000240,2026-01-05,SUP10,Juniper Kitchen,7,533,0,1,1,2.02
R000241,2026-01-05,SUP07,Granite Tools,6,1150,0,1,1,2.19
R000242,2026-01-05,SUP03,Cobalt Electronics,14,1074,1,1,1,3.7
R000243,2026-01-05,SUP03,Cobalt Electronics,7,609,1,1,1,2.88
R000244,2026-01-05,SUP03,Cobalt Electronics,6,760,0,1,1,3.57
R000245,2026-01-05,SUP06,Fjord Outdoor,15,1383,0,1,1,2.65
R000246,2026-01-05,SUP04,Delta Apparel,10,272,0,1,1,2.98
R000247,2026-01-05,SUP03,Cobalt Electronics,12,1288,1,1,1,4.06
R000248,2026-01-05,SUP10,Juniper Kitchen,11,523,1,1,1,2.47
R000249,2026-01-05,SUP02,Brightline Beauty,12,508,1,1,1,2.24
R000250,2026-01-05,SUP04,Delta Apparel,8,278,1,1,1,3.84
R000251,2026-01-05,SUP10,Juniper Kitchen,14,997,1,1,1,2.69
R000252,2026-01-05,SUP10,Juniper Kitchen,18,569,1,1,1,4.28
R000253,2026-01-05,SUP05,Evergreen Pet,13,897,0,1,1,3.1
R000254,2026-01-05,SUP08,Harbor Home,7,280,1,1,1,2.63
R000255,2026-01-05,SUP01,Alder Foods,11,662,1,1,1,2.03
R000256,2026-01-05,SUP01,Alder Foods,13,984,1,1,0,2.24
R000257,2026-01-05,SUP07,Granite Tools,8,1325,1,1,1,4.19
R000258,2026-01-05,SUP02,Brightline Beauty,8,822,1,1,1,3.71
R000259,2026-01-05,SUP04,Delta Apparel,10,844,1,1,1,3.76
R000260,2026-01-05,SUP04,Delta Apparel,18,592,1,1,1,7.03
R000261,2026-01-05,SUP02,Brightline Beauty,12,736,1,1,1,3.07
R000262,2026-01-05,SUP09,Iris Kids,9,1348,1,1,1,4.1
R000263,2026-01-05,SUP04,Delta Apparel,10,1076,1,0,1,3.22
R000264,2026-01-05,SUP08,Harbor Home,16,885,1,1,1,5.46
R000265,2026-01-05,SUP06,Fjord Outdoor,9,1244,0,1,1,4.13
R000266,2026-01-05,SUP06,Fjord Outdoor,15,1029,1,1,1,2.6
R000267,2026-01-05,SUP08,Harbor Home,16,866,1,1,1,5.55
R000268,2026-01-05,SUP08,Harbor Home,10,1352,0,1,1,2.67
R000269,2026-01-05,SUP01,Alder Foods,16,511,1,1,1,6.68
R000270,2026-01-05,SUP08,Harbor Home,12,760,1,1,1,3.61
R000271,2026-01-05,SUP03,Cobalt Electronics,17,750,1,1,1,4.51
R000272,2026-01-05,SUP06,Fjord Outdoor,13,658,1,1,1,2.17
R000273,2026-01-05,SUP03,Cobalt Electronics,10,995,1,1,1,2.88
R000274,2026-01-05,SUP08,Harbor Home,7,544,1,1,1,3.98
R000275,2026-01-05,SUP06,Fjord Outdoor,16,850,1,1,1,5.77
R000276,2026-01-05,SUP08,Harbor Home,20,939,1,1,1,4.26
R000277,2026-01-05,SUP02,Brightline Beauty,8,1380,1,1,1,3.53
R000278,2026-01-05,SUP09,Iris Kids,9,1262,1,1,1,3.06
R000279,2026-01-05,SUP02,Brightline Beauty,13,467,1,1,1,3.04
R000280,2026-01-05,SUP06,Fjord Outdoor,11,330,1,1,1,2.37
R000281,2026-01-06,SUP08,Harbor Home,7,1349,1,1,1,3.4
R000282,2026-01-06,SUP03,Cobalt Electronics,10,920,1,1,1,2.47
R000283,2026-01-06,SUP06,Fjord Outdoor,13,1337,1,1,1,3.18
R000284,2026-01-06,SUP07,Granite Tools,20,1024,1,1,1,6.25
R000285,2026-01-06,SUP10,Juniper Kitchen,21,308,1,1,1,5.97
R000286,2026-01-06,SUP06,Fjord Outdoor,14,927,1,1,0,2.07
R000287,2026-01-06,SUP01,Alder Foods,8,1031,1,1,1,2.99
R000288,2026-01-06,SUP01,Alder Foods,8,875,0,1,1,3.84
R000289,2026-01-06,SUP01,Alder Foods,10,932,1,1,1,2.84
R000290,2026-01-06,SUP01,Alder Foods,8,1103,1,1,1,3.58
R000291,2026-01-06,SUP04,Delta Apparel,17,345,1,1,1,7.07
R000292,2026-01-06,SUP05,Evergreen Pet,11,962,1,1,1,3.58
R000293,2026-01-06,SUP06,Fjord Outdoor,18,1153,1,1,1,6.2
R000294,2026-01-06,SUP02,Brightline Beauty,11,293,1,1,1,3.64
R000295,2026-01-06,SUP08,Harbor Home,11,260,0,1,1,2.25
R000296,2026-01-06,SUP06,Fjord Outdoor,12,385,1,1,1,2.02
R000297,2026-01-06,SUP04,Delta Apparel,12,1132,1,1,1,2.06
R000298,2026-01-06,SUP10,Juniper Kitchen,6,466,0,1,1,3.03
R000299,2026-01-06,SUP03,Cobalt Electronics,14,265,1,1,1,2.85
R000300,2026-01-06,SUP02,Brightline Beauty,8,1056,1,1,1,2.82
R000301,2026-01-06,SUP07,Granite Tools,6,787,1,1,1,3.38
R000302,2026-01-06,SUP08,Harbor Home,9,499,1,0,1,2.08
R000303,2026-01-06,SUP04,Delta Apparel,7,1229,1,1,1,3.57
R000304,2026-01-06,SUP10,Juniper Kitchen,11,850,1,1,1,3.26
R000305,2026-01-06,SUP09,Iris Kids,9,996,1,1,0,3.41
R000306,2026-01-06,SUP01,Alder Foods,9,572,1,1,1,2.39
R000307,2026-01-06,SUP01,Alder Foods,14,832,1,1,1,4.02
R000308,2026-01-06,SUP01,Alder Foods,13,377,1,1,1,2.96
R000309,2026-01-06,SUP10,Juniper Kitchen,10,747,1,1,1,2.51
R000310,2026-01-06,SUP06,Fjord Outdoor,20,484,1,1,1,7.82
R000311,2026-01-06,SUP09,Iris Kids,6,949,1,1,1,3.8
R000312,2026-01-06,SUP01,Alder Foods,9,1088,1,1,1,3.49
R000313,2026-01-06,SUP04,Delta Apparel,20,1310,1,1,1,5.01
R000314,2026-01-06,SUP06,Fjord Outdoor,9,661,0,1,1,3.31
R000315,2026-01-06,SUP09,Iris Kids,7,545,0,1,0,3.82
R000316,2026-01-06,SUP02,Brightline Beauty,11,1341,0,1,1,2.7
R000317,2026-01-06,SUP03,Cobalt Electronics,18,977,0,1,1,5.32
R000318,2026-01-06,SUP08,Harbor Home,17,1185,1,1,1,7.8
R000319,2026-01-06,SUP08,Harbor Home,15,363,1,1,1,3.27
R000320,2026-01-06,SUP08,Harbor Home,10,1097,1,1,1,3.84
R000321,2026-01-06,SUP04,Delta Apparel,15,650,1,1,1,2.05
R000322,2026-01-06,SUP04,Delta Apparel,14,1398,1,1,1,2.07
R000323,2026-01-06,SUP05,Evergreen Pet,12,592,1,1,1,2.27
R000324,2026-01-06,SUP09,Iris Kids,17,1029,1,1,1,6.18
R000325,2026-01-06,SUP02,Brightline Beauty,11,344,1,1,1,4.02
R000326,2026-01-06,SUP04,Delta Apparel,16,943,0,1,1,6.0
R000327,2026-01-06,SUP08,Harbor Home,16,775,0,1,1,8.44
R000328,2026-01-06,SUP10,Juniper Kitchen,9,855,1,1,1,2.05
R000329,2026-01-06,SUP07,Granite Tools,12,861,1,1,1,2.65
R000330,2026-01-06,SUP07,Granite Tools,6,957,0,1,1,2.53
R000331,2026-01-06,SUP06,Fjord Outdoor,10,1287,1,1,1,4.05
R000332,2026-01-06,SUP04,Delta Apparel,9,1099,1,1,1,3.54
R000333,2026-01-06,SUP03,Cobalt Electronics,19,1311,0,1,1,8.72
R000334,2026-01-06,SUP10,Juniper Kitchen,18,550,1,1,1,7.95
R000335,2026-01-06,SUP10,Juniper Kitchen,11,857,1,1,1,3.22
R000336,2026-01-06,SUP03,Cobalt Electronics,9,1033,1,1,1,3.55
R000337,2026-01-06,SUP03,Cobalt Electronics,8,1083,1,1,1,2.32
R000338,2026-01-06,SUP06,Fjord Outdoor,20,819,1,1,1,5.67
R000339,2026-01-06,SUP01,Alder Foods,9,577,1,1,1,2.87
R000340,2026-01-06,SUP05,Evergreen Pet,11,657,1,1,1,3.88
R000341,2026-01-06,SUP01,Alder Foods,10,982,1,1,1,2.6
R000342,2026-01-07,SUP07,Granite Tools,16,1380,1,1,1,4.35
R000343,2026-01-07,SUP09,Iris Kids,7,974,1,1,1,3.49
R000344,2026-01-07,SUP03,Cobalt Electronics,16,843,1,1,1,4.6
R000345,2026-01-07,SUP02,Brightline Beauty,10,1281,1,1,1,2.12
R000346,2026-01-07,SUP02,Brightline Beauty,21,1080,1,1,1,5.01
R000347,2026-01-07,SUP03,Cobalt Electronics,10,652,1,1,1,2.45
R000348,2026-01-07,SUP10,Juniper Kitchen,20,590,1,1,1,7.82
R000349,2026-01-07,SUP08,Harbor Home,8,280,1,1,1,2.08
R000350,2026-01-07,SUP04,Delta Apparel,14,894,1,0,1,3.01
R000351,2026-01-07,SUP01,Alder Foods,14,609,1,1,0,4.12
R000352,2026-01-07,SUP06,Fjord Outdoor,8,1003,1,1,1,2.61
R000353,2026-01-07,SUP01,Alder Foods,9,787,1,1,1,2.5
R000354,2026-01-07,SUP01,Alder Foods,14,881,1,1,1,3.43
R000355,2026-01-07,SUP01,Alder Foods,11,1346,1,1,1,2.24
R000356,2026-01-07,SUP07,Granite Tools,8,1182,1,1,1,3.28
R000357,2026-01-07,SUP10,Juniper Kitchen,16,1188,1,1,1,7.87
R000358,2026-01-07,SUP06,Fjord Outdoor,8,680,1,1,1,3.81
