주문번호,주문일자,매장코드,제품코드,수량,정가,할인율,매출액,원가
O20240103-000057,2024-01-03,S09,P008,1,129000,0.0,129000,79980
O20240103-000058,2024-01-03,S09,P012,1,189000,0.2,151200,79380
O20240103-000059,2024-01-03,S09,P027,2,8900,0.0,17800,9256
O20240103-000060,2024-01-03,S10,P015,2,69000,0.1,124200,55200
O20240103-000061,2024-01-03,S10,P023,1,42000,0.0,42000,27720
O20240103-000062,2024-01-03,S10,P045,2,29000,0.0,58000,17400
O20240103-000063,2024-01-03,S11,P017,1,89000,0.2,71200,39160
O20240103-000064,2024-01-03,S11,P028,2,89000,0.05,169100,89000
O20240103-000065,2024-01-03,S12,P004,1,189000,0.05,179550,139860
O20240103-000066,2024-01-03,S13,P022,3,29000,0.1,78300,53940
O20240103-000067,2024-01-03,S15,P018,1,79000,0.05,75050,32390
O20240103-000068,2024-01-03,S15,P037,1,27000,0.0,27000,10800
O20240103-000069,2024-01-03,ON1,P004,1,189000,0.0,189000,139860
O20240103-000070,2024-01-03,ON1,P012,3,189000,0.0,567000,238140
O20240103-000071,2024-01-03,ON1,P022,4,29000,0.05,110200,71920
O20240103-000072,2024-01-03,ON1,P048,4,98000,0.0,392000,148960
O20240103-000073,2024-01-03,ON2,P005,1,149000,0.0,149000,101320
O20240103-000074,2024-01-03,ON2,P013,1,59000,0.05,56050,23600
O20240103-000075,2024-01-03,ON2,P024,2,19900,0.0,39800,21890
O20240103-000076,2024-01-03,ON2,P031,2,79000,0.1,142200,75840
O20240104-000077,2024-01-04,S01,P015,1,69000,0.0,69000,27600
O20240104-000078,2024-01-04,S01,P047,2,15000,0.0,30000,10200
O20240104-000079,2024-01-04,S02,P024,4,19900,0.05,75620,43780
O20240104-000080,2024-01-04,S03,P025,4,24900,0.0,99600,57768
O20240104-000081,2024-01-04,S04,P016,1,119000,0.1,107100,59500
O20240104-000082,2024-01-04,S04,P021,2,159000,0.0,318000,222600
O20240104-000083,2024-01-04,S06,P011,1,129000,0.0,129000,58050
O20240104-000084,2024-01-04,S07,P028,1,89000,0.1,80100,44500
O20240104-000085,2024-01-04,S08,P026,4,12900,0.0,51600,24768
O20240104-000086,2024-01-04,S09,P047,1,15000,0.05,14250,5100
O20240104-000087,2024-01-04,S12,P022,3,29000,0.0,87000,53940
O20240104-000088,2024-01-04,S13,P003,1,459000,0.0,459000,321300
O20240104-000089,2024-01-04,S15,P018,1,79000,0.0,79000,32390
O20240104-000090,2024-01-04,S15,P022,1,29000,0.3,20300,17980
O20240104-000091,2024-01-04,S16,P011,1,129000,0.2,103200,58050
O20240104-000092,2024-01-04,S16,P022,1,29000,0.0,29000,17980
O20240104-000093,2024-01-04,S17,P026,1,12900,0.0,12900,6192
O20240104-000094,2024-01-04,ON1,P001,1,2190000,0.2,1752000,1708200
O20240104-000095,2024-01-04,ON1,P012,1,189000,0.1,170100,79380
O20240104-000096,2024-01-04,ON1,P026,1,12900,0.05,12255,6192
O20240104-000097,2024-01-04,ON1,P037,1,27000,0.0,27000,10800
O20240104-000098,2024-01-04,ON2,P027,3,8900,0.0,26700,13884
O20240104-000099,2024-01-04,ON2,P047,2,15000,0.3,21000,10200
O20240105-000100,2024-01-05,S01,P013,1,59000,0.0,59000,23600
O20240105-000101,2024-01-05,S01,P024,4,19900,0.05,75620,43780
O20240105-000102,2024-01-05,S02,P027,1,8900,0.0,8900,4628
O20240105-000103,2024-01-05,S02,P035,3,15900,0.0,47700,20034
O20240105-000104,2024-01-05,S04,P015,2,69000,0.05,131100,55200
O20240105-000105,2024-01-05,S04,P027,1,8900,0.05,8455,4628
O20240105-000106,2024-01-05,S06,P022,1,29000,0.0,29000,17980
O20240105-000107,2024-01-05,S08,P033,1,18900,0.0,18900,10395
O20240105-000108,2024-01-05,S09,P028,1,89000,0.05,84550,44500
O20240105-000109,2024-01-05,S09,P031,1,79000,0.0,79000,37920
O20240105-000110,2024-01-05,S10,P026,2,12900,0.1,23220,12384
O20240105-000111,2024-01-05,S11,P013,1,59000,0.0,59000,23600
O20240105-000112,2024-01-05,S11,P048,4,98000,0.05,372400,148960
O20240105-000113,2024-01-05,S14,P026,1,12900,0.3,9030,6192
O20240105-000114,2024-01-05,S15,P016,3,119000,0.0,357000,178500
O20240105-000115,2024-01-05,S15,P024,3,19900,0.05,56715,32835
O20240105-000116,2024-01-05,S18,P015,1,69000,0.0,69000,27600
O20240105-000117,2024-01-05,ON1,P028,2,89000,0.05,169100,89000
O20240105-000118,2024-01-05,ON1,P035,1,15900,0.0,15900,6678
O20240105-000119,2024-01-05,ON2,P027,1,8900,0.0,8900,4628
O20240106-000120,2024-01-06,S01,P005,1,149000,0.2,119200,101320
O20240106-000121,2024-01-06,S01,P013,3,59000,0.1,159300,70800
O20240106-000122,2024-01-06,S02,P016,3,119000,0.2,285600,178500
O20240106-000123,2024-01-06,S02,P022,1,29000,0.05,27550,17980
O20240106-000124,2024-01-06,S02,P042,3,22000,0.0,66000,21120
O20240106-000125,2024-01-06,S03,P001,1,2190000,0.0,2190000,1708200
O20240106-000126,2024-01-06,S03,P014,2,45000,0.05,85500,34200
O20240106-000127,2024-01-06,S03,P022,1,29000,0.05,27550,17980
O20240106-000128,2024-01-06,S04,P025,4,24900,0.05,94620,57768
O20240106-000129,2024-01-06,S04,P037,2,27000,0.05,51300,21600
O20240106-000130,2024-01-06,S06,P003,1,459000,0.0,459000,321300
O20240106-000131,2024-01-06,S06,P028,2,89000,0.0,178000,89000
O20240106-000132,2024-01-06,S07,P017,1,89000,0.0,89000,39160
O20240106-000133,2024-01-06,S07,P025,5,24900,0.05,118275,72210
O20240106-000134,2024-01-06,S08,P004,1,189000,0.1,170100,139860
O20240106-000135,2024-01-06,S08,P024,2,19900,0.0,39800,21890
O20240106-000136,2024-01-06,S08,P031,3,79000,0.1,213300,113760
O20240106-000137,2024-01-06,S09,P015,1,69000,0.0,69000,27600
O20240106-000138,2024-01-06,S09,P027,2,8900,0.05,16910,9256
O20240106-000139,2024-01-06,S10,P015,1,69000,0.0,69000,27600
O20240106-000140,2024-01-06,S10,P026,3,12900,0.05,36765,18576
O20240106-000141,2024-01-06,S10,P032,2,29900,0.0,59800,26910
O20240106-000142,2024-01-06,S11,P017,1,89000,0.1,80100,39160
O20240106-000143,2024-01-06,S11,P026,2,12900,0.0,25800,12384
O20240106-000144,2024-01-06,S11,P038,2,49000,0.05,93100,46060
O20240106-000145,2024-01-06,S12,P003,1,459000,0.0,459000,321300
O20240106-000146,2024-01-06,S14,P023,4,42000,0.0,168000,110880
O20240106-000147,2024-01-06,S14,P037,2,27000,0.0,54000,21600
O20240106-000148,2024-01-06,S14,P041,1,38000,0.0,38000,11400
O20240106-000149,2024-01-06,S15,P026,1,12900,0.1,11610,6192
O20240106-000150,2024-01-06,S15,P038,1,49000,0.0,49000,23030
O20240106-000151,2024-01-06,S16,P012,1,189000,0.0,189000,79380
O20240106-000152,2024-01-06,S16,P025,4,24900,0.1,89640,57768
O20240106-000153,2024-01-06,ON1,P005,1,149000,0.0,149000,101320
O20240106-000154,2024-01-06,ON1,P014,1,45000,0.0,45000,17100
O20240106-000155,2024-01-06,ON1,P025,2,24900,0.0,49800,28884
O20240106-000156,2024-01-06,ON1,P045,1,29000,0.1,26100,8700
O20240106-000157,2024-01-06,ON2,P006,1,329000,0.0,329000,217140
O20240106-000158,2024-01-06,ON2,P011,2,129000,0.05,245100,116100
O20240106-000159,2024-01-06,ON2,P024,3,19900,0.0,59700,32835
O20240106-000160,2024-01-06,ON2,P035,1,15900,0.1,14310,6678
O20240107-000161,2024-01-07,S01,P007,1,219000,0.0,219000,140160
O20240107-000162,2024-01-07,S01,P014,1,45000,0.0,45000,17100
O20240107-000163,2024-01-07,S01,P024,2,19900,0.0,39800,21890
O20240107-000164,2024-01-07,S01,P034,2,69000,0.0,138000,63480
O20240107-000165,2024-01-07,S02,P025,5,24900,0.1,112050,72210
O20240107-000166,2024-01-07,S03,P022,1,29000,0.0,29000,17980
O20240107-000167,2024-01-07,S03,P048,1,98000,0.0,98000,37240
O20240107-000168,2024-01-07,S04,P013,1,59000,0.0,59000,23600
O20240107-000169,2024-01-07,S04,P026,1,12900,0.0,12900,6192
O20240107-000170,2024-01-07,S04,P041,1,38000,0.0,38000,11400
O20240107-000171,2024-01-07,S06,P006,1,329000,0.1,296100,217140
O20240107-000172,2024-01-07,S06,P012,1,189000,0.05,179550,79380
O20240107-000173,2024-01-07,S06,P038,1,49000,0.0,49000,23030
O20240107-000174,2024-01-07,S07,P028,1,89000,0.0,89000,44500
O20240107-000175,2024-01-07,S07,P032,1,29900,0.0,29900,13455
O20240107-000176,2024-01-07,S08,P026,2,12900,0.0,25800,12384
O20240107-000177,2024-01-07,S08,P033,2,18900,0.0,37800,20790
O20240107-000178,2024-01-07,S09,P005,1,149000,0.05,141550,101320
O20240107-000179,2024-01-07,S09,P014,1,45000,0.0,45000,17100
O20240107-000180,2024-01-07,S09,P024,2,19900,0.0,39800,21890
O20240107-000181,2024-01-07,S09,P036,3,32000,0.0,96000,33600
O20240107-000182,2024-01-07,S09,P045,2,29000,0.0,58000,17400
O20240107-000183,2024-01-07,S10,P015,1,69000,0.05,65550,27600
O20240107-000184,2024-01-07,S10,P021,1,159000,0.0,159000,111300
O20240107-000185,2024-01-07,S11,P032,1,29900,0.05,28405,13455
O20240107-000186,2024-01-07,S12,P025,1,24900,0.0,24900,14442
O20240107-000187,2024-01-07,S13,P008,1,129000,0.0,129000,79980
O20240107-000188,2024-01-07,S13,P021,3,159000,0.0,477000,333900
O20240107-000189,2024-01-07,S13,P041,1,38000,0.0,38000,11400
O20240107-000190,2024-01-07,S15,P022,1,29000,0.0,29000,17980
O20240107-000191,2024-01-07,S16,P037,1,27000,0.0,27000,10800
O20240107-000192,2024-01-07,S17,P018,1,79000,0.0,79000,32390
O20240107-000193,2024-01-07,S18,P028,2,89000,0.0,178000,89000
O20240107-000194,2024-01-07,S18,P046,2,16900,0.05,32110,12168
O20240107-000195,2024-01-07,ON1,P013,2,59000,0.1,106200,47200
O20240107-000196,2024-01-07,ON1,P021,1,159000,0.0,159000,111300
O20240107-000197,2024-01-07,ON1,P026,5,12900,0.0,64500,30960
O20240107-000198,2024-01-07,ON1,P041,4,38000,0.0,152000,45600
O20240107-000199,2024-01-07,ON2,P016,1,119000,0.0,119000,59500
O20240107-000200,2024-01-07,ON2,P025,3,24900,0.0,74700,43326
O20240107-000201,2024-01-07,ON2,P031,2,79000,0.0,158000,75840
O20240107-000202,2024-01-07,ON2,P044,1,42000,0.0,42000,13860
O20240108-000203,2024-01-08,S01,P012,1,189000,0.0,189000,79380
O20240108-000204,2024-01-08,S01,P025,1,24900,0.2,19920,14442
O20240108-000205,2024-01-08,S01,P044,1,42000,0.0,42000,13860
O20240108-000206,2024-01-08,S02,P045,2,29000,0.05,55100,17400
O20240108-000207,2024-01-08,S03,P027,3,8900,0.0,26700,13884
O20240108-000208,2024-01-08,S03,P045,3,29000,0.0,87000,26100
O20240108-000209,2024-01-08,S04,P027,1,8900,0.0,8900,4628
O20240108-000210,2024-01-08,S06,P023,2,42000,0.2,67200,55440
O20240108-000211,2024-01-08,S06,P033,1,18900,0.0,18900,10395
O20240108-000212,2024-01-08,S07,P001,1,2190000,0.1,1971000,1708200
O20240108-000213,2024-01-08,S07,P014,3,45000,0.0,135000,51300
O20240108-000214,2024-01-08,S07,P038,1,49000,0.0,49000,23030
O20240108-000215,2024-01-08,S07,P042,2,22000,0.2,35200,14080
O20240108-000216,2024-01-08,S08,P022,2,29000,0.0,58000,35960
O20240108-000217,2024-01-08,S08,P045,2,29000,0.0,58000,17400
O20240108-000218,2024-01-08,S10,P013,2,59000,0.05,112100,47200
O20240108-000219,2024-01-08,S10,P024,3,19900,0.0,59700,32835
O20240108-000220,2024-01-08,S10,P032,2,29900,0.0,59800,26910
O20240108-000221,2024-01-08,S15,P026,1,12900,0.05,12255,6192
O20240108-000222,2024-01-08,S15,P041,1,38000,0.2,30400,11400
O20240108-000223,2024-01-08,S17,P007,1,219000,0.2,175200,140160
O20240108-000224,2024-01-08,S18,P016,1,119000,0.0,119000,59500
O20240108-000225,2024-01-08,S18,P031,1,79000,0.0,79000,37920
O20240108-000226,2024-01-08,ON1,P007,1,219000,0.1,197100,140160
O20240108-000227,2024-01-08,ON1,P015,2,69000,0.0,138000,55200
O20240108-000228,2024-01-08,ON1,P028,1,89000,0.0,89000,44500
O20240108-000229,2024-01-08,ON1,P048,2,98000,0.0,196000,74480
O20240108-000230,2024-01-08,ON2,P008,2,129000,0.0,258000,159960
O20240108-000231,2024-01-08,ON2,P015,1,69000,0.0,69000,27600
O20240109-000232,2024-01-09,S01,P022,5,29000,0.05,137750,89900
O20240109-000233,2024-01-09,S01,P048,5,98000,0.1,441000,186200
O20240109-000234,2024-01-09,S02,P021,4,159000,0.0,636000,445200
O20240109-000235,2024-01-09,S03,P018,1,79000,0.0,79000,32390
O20240109-000236,2024-01-09,S03,P021,1,159000,0.0,159000,111300
O20240109-000237,2024-01-09,S03,P041,2,38000,0.0,76000,22800
O20240109-000238,2024-01-09,S04,P014,1,45000,0.0,45000,17100
O20240109-000239,2024-01-09,S04,P026,1,12900,0.0,12900,6192
O20240109-000240,2024-01-09,S04,P044,1,42000,0.3,29400,13860
O20240109-000241,2024-01-09,S06,P044,2,42000,0.05,79800,27720
O20240109-000242,2024-01-09,S08,P021,5,159000,0.2,636000,556500
O20240109-000243,2024-01-09,S08,P042,1,22000,0.05,20900,7040
O20240109-000244,2024-01-09,S09,P021,2,159000,0.0,318000,222600
O20240109-000245,2024-01-09,S10,P008,1,129000,0.1,116100,79980
O20240109-000246,2024-01-09,S10,P014,1,45000,0.0,45000,17100
O20240109-000247,2024-01-09,S10,P023,2,42000,0.0,84000,55440
O20240109-000248,2024-01-09,S10,P038,2,49000,0.0,98000,46060
O20240109-000249,2024-01-09,S11,P024,1,19900,0.0,19900,10945
O20240109-000250,2024-01-09,S12,P016,2,119000,0.0,238000,119000
O20240109-000251,2024-01-09,S13,P011,2,129000,0.2,206400,116100
O20240109-000252,2024-01-09,S14,P025,3,24900,0.0,74700,43326
O20240109-000253,2024-01-09,S15,P026,3,12900,0.05,36765,18576
O20240109-000254,2024-01-09,S18,P038,1,49000,0.05,46550,23030
O20240109-000255,2024-01-09,ON1,P027,2,8900,0.0,17800,9256
O20240109-000256,2024-01-09,ON1,P033,1,18900,0.0,18900,10395
O20240109-000257,2024-01-09,ON2,P012,2,189000,0.0,378000,158760
O20240109-000258,2024-01-09,ON2,P022,3,29000,0.1,78300,53940
O20240110-000259,2024-01-10,S01,P015,1,69000,0.05,65550,27600
O20240110-000260,2024-01-10,S01,P024,2,19900,0.2,31840,21890
O20240110-000261,2024-01-10,S02,P014,1,45000,0.05,42750,17100
O20240110-000262,2024-01-10,S03,P011,3,129000,0.0,387000,174150
O20240110-000263,2024-01-10,S03,P035,1,15900,0.0,15900,6678
O20240110-000264,2024-01-10,S04,P027,1,8900,0.05,8455,4628
O20240110-000265,2024-01-10,S06,P023,4,42000,0.1,151200,110880
O20240110-000266,2024-01-10,S08,P011,1,129000,0.0,129000,58050
O20240110-000267,2024-01-10,S08,P033,2,18900,0.1,34020,20790
O20240110-000268,2024-01-10,S08,P048,2,98000,0.0,196000,74480
O20240110-000269,2024-01-10,S09,P018,1,79000,0.0,79000,32390
O20240110-000270,2024-01-10,S11,P018,1,79000,0.0,79000,32390
O20240110-000271,2024-01-10,S11,P025,2,24900,0.0,49800,28884
O20240110-000272,2024-01-10,S12,P026,1,12900,0.0,12900,6192
O20240110-000273,2024-01-10,S13,P028,1,89000,0.0,89000,44500
O20240110-000274,2024-01-10,S14,P042,1,22000,0.05,20900,7040
O20240110-000275,2024-01-10,S15,P013,1,59000,0.0,59000,23600
O20240110-000276,2024-01-10,S15,P022,4,29000,0.1,104400,71920
O20240110-000277,2024-01-10,S15,P036,1,32000,0.05,30400,11200
O20240110-000278,2024-01-10,ON1,P016,1,119000,0.0,119000,59500
O20240110-000279,2024-01-10,ON1,P022,5,29000,0.0,145000,89900
O20240110-000280,2024-01-10,ON1,P033,1,18900,0.0,18900,10395
O20240110-000281,2024-01-10,ON1,P042,2,22000,0.1,39600,14080
O20240110-000282,2024-01-10,ON2,P011,1,129000,0.0,129000,58050
O20240110-000283,2024-01-10,ON2,P024,1,19900,0.2,15920,10945
O20240110-000284,2024-01-10,ON2,P041,1,38000,0.0,38000,11400
O20240111-000285,2024-01-11,S01,P017,2,89000,0.0,178000,78320
O20240111-000286,2024-01-11,S01,P021,2,159000,0.1,286200,222600
O20240111-000287,2024-01-11,S01,P042,1,22000,0.0,22000,7040
O20240111-000288,2024-01-11,S02,P024,4,19900,0.0,79600,43780
O20240111-000289,2024-01-11,S04,P045,1,29000,0.0,29000,8700
O20240111-000290,2024-01-11,S06,P027,1,8900,0.0,8900,4628
O20240111-000291,2024-01-11,S08,P002,2,689000,0.0,1378000,992160
O20240111-000292,2024-01-11,S08,P038,3,49000,0.0,147000,69090
O20240111-000293,2024-01-11,S09,P007,1,219000,0.1,197100,140160
O20240111-000294,2024-01-11,S10,P016,1,119000,0.0,119000,59500
O20240111-000295,2024-01-11,S11,P006,1,329000,0.0,329000,217140
O20240111-000296,2024-01-11,S14,P012,1,189000,0.2,151200,79380
O20240111-000297,2024-01-11,S14,P026,2,12900,0.2,20640,12384
O20240111-000298,2024-01-11,S15,P031,2,79000,0.0,158000,75840
O20240111-000299,2024-01-11,S17,P012,1,189000,0.1,170100,79380
O20240111-000300,2024-01-11,ON1,P001,1,2190000,0.1,1971000,1708200
O20240111-000301,2024-01-11,ON1,P014,3,45000,0.0,135000,51300
O20240111-000302,2024-01-11,ON1,P024,1,19900,0.05,18905,10945
O20240111-000303,2024-01-11,ON2,P004,1,189000,0.2,151200,139860
O20240111-000304,2024-01-11,ON2,P025,1,24900,0.0,24900,14442
O20240111-000305,2024-01-11,ON2,P033,2,18900,0.05,35910,20790
O20240112-000306,2024-01-12,S01,P001,1,2190000,0.1,1971000,1708200
O20240112-000307,2024-01-12,S01,P028,1,89000,0.0,89000,44500
O20240112-000308,2024-01-12,S02,P014,2,45000,0.0,90000,34200
O20240112-000309,2024-01-12,S02,P023,1,42000,0.0,42000,27720
O20240112-000310,2024-01-12,S04,P024,1,19900,0.0,19900,10945
O20240112-000311,2024-01-12,S04,P034,2,69000,0.0,138000,63480
O20240112-000312,2024-01-12,S06,P002,2,689000,0.0,1378000,992160
O20240112-000313,2024-01-12,S06,P011,1,129000,0.0,129000,58050
O20240112-000314,2024-01-12,S06,P026,1,12900,0.0,12900,6192
O20240112-000315,2024-01-12,S08,P012,1,189000,0.05,179550,79380
O20240112-000316,2024-01-12,S08,P043,1,45000,0.05,42750,12600
O20240112-000317,2024-01-12,S09,P005,1,149000,0.2,119200,101320
O20240112-000318,2024-01-12,S09,P023,2,42000,0.0,84000,55440
O20240112-000319,2024-01-12,S09,P038,2,49000,0.1,88200,46060
O20240112-000320,2024-01-12,S11,P044,1,42000,0.0,42000,13860
O20240112-000321,2024-01-12,S13,P024,1,19900,0.0,19900,10945
O20240112-000322,2024-01-12,ON1,P024,3,19900,0.1,53730,32835
O20240112-000323,2024-01-12,ON1,P033,1,18900,0.05,17955,10395
O20240112-000324,2024-01-12,ON1,P046,1,16900,0.05,16055,6084
O20240112-000325,2024-01-12,ON2,P026,3,12900,0.0,38700,18576
O20240113-000326,2024-01-13,S01,P013,1,59000,0.1,53100,23600
O20240113-000327,2024-01-13,S01,P024,2,19900,0.0,39800,21890
O20240113-000328,2024-01-13,S01,P034,1,69000,0.0,69000,31740
O20240113-000329,2024-01-13,S01,P043,2,45000,0.0,90000,25200
O20240113-000330,2024-01-13,S02,P013,1,59000,0.0,59000,23600
O20240113-000331,2024-01-13,S02,P026,2,12900,0.0,25800,12384
O20240113-000332,2024-01-13,S02,P032,2,29900,0.1,53820,26910
O20240113-000333,2024-01-13,S03,P006,1,329000,0.0,329000,217140
O20240113-000334,2024-01-13,S03,P036,1,32000,0.05,30400,11200
O20240113-000335,2024-01-13,S04,P022,1,29000,0.1,26100,17980
O20240113-000336,2024-01-13,S06,P011,1,129000,0.0,129000,58050
O20240113-000337,2024-01-13,S06,P021,2,159000,0.0,318000,222600
O20240113-000338,2024-01-13,S06,P042,1,22000,0.05,20900,7040
O20240113-000339,2024-01-13,S07,P034,1,69000,0.0,69000,31740
O20240113-000340,2024-01-13,S09,P016,1,119000,0.05,113050,59500
O20240113-000341,2024-01-13,S09,P027,1,8900,0.05,8455,4628
O20240113-000342,2024-01-13,S09,P031,1,79000,0.05,75050,37920
O20240113-000343,2024-01-13,S10,P036,3,32000,0.1,86400,33600
O20240113-000344,2024-01-13,S11,P046,1,16900,0.0,16900,6084
O20240113-000345,2024-01-13,S13,P024,1,19900,0.2,15920,10945
O20240113-000346,2024-01-13,S13,P042,3,22000,0.0,66000,21120
O20240113-000347,2024-01-13,S15,P015,1,69000,0.0,69000,27600
O20240113-000348,2024-01-13,S16,P003,1,459000,0.0,459000,321300
O20240113-000349,2024-01-13,S17,P025,5,24900,0.0,124500,72210
O20240113-000350,2024-01-13,S18,P014,1,45000,0.0,45000,17100
O20240113-000351,2024-01-13,ON1,P015,1,69000,0.0,69000,27600
O20240113-000352,2024-01-13,ON1,P022,1,29000,0.0,29000,17980
O20240113-000353,2024-01-13,ON2,P026,4,12900,0.0,51600,24768
O20240113-000354,2024-01-13,ON2,P047,2,15000,0.1,27000,10200
O20240114-000355,2024-01-14,S01,P028,3,89000,0.0,267000,133500
O20240114-000356,2024-01-14,S02,P022,1,29000,0.0,29000,17980
O20240114-000357,2024-01-14,S03,P001,1,2190000,0.0,2190000,1708200
O20240114-000358,2024-01-14,S03,P018,1,79000,0.05,75050,32390
O20240114-000359,2024-01-14,S03,P032,2,29900,0.0,59800,26910
O20240114-000360,2024-01-14,S04,P015,2,69000,0.0,138000,55200
O20240114-000361,2024-01-14,S04,P022,1,29000,0.0,29000,17980
O20240114-000362,2024-01-14,S06,P028,1,89000,0.0,89000,44500
O20240114-000363,2024-01-14,S06,P044,1,42000,0.0,42000,13860
O20240114-000364,2024-01-14,S07,P012,1,189000,0.0,189000,79380
O20240114-000365,2024-01-14,S07,P027,4,8900,0.0,35600,18512
O20240114-000366,2024-01-14,S07,P046,2,16900,0.0,33800,12168
O20240114-000367,2024-01-14,S08,P035,1,15900,0.0,15900,6678
O20240114-000368,2024-01-14,S09,P016,2,119000,0.0,238000,119000
O20240114-000369,2024-01-14,S09,P027,1,8900,0.1,8010,4628
O20240114-000370,2024-01-14,S09,P031,2,79000,0.05,150100,75840
O20240114-000371,2024-01-14,S10,P012,3,189000,0.0,567000,238140
O20240114-000372,2024-01-14,S10,P024,2,19900,0.0,39800,21890
O20240114-000373,2024-01-14,S10,P042,2,22000,0.0,44000,14080
O20240114-000374,2024-01-14,S11,P012,1,189000,0.0,189000,79380
O20240114-000375,2024-01-14,S11,P028,2,89000,0.0,178000,89000
O20240114-000376,2024-01-14,S11,P033,1,18900,0.0,18900,10395
O20240114-000377,2024-01-14,S11,P048,2,98000,0.0,196000,74480
O20240114-000378,2024-01-14,S12,P014,3,45000,0.0,135000,51300
O20240114-000379,2024-01-14,S14,P014,1,45000,0.0,45000,17100
O20240114-000380,2024-01-14,S16,P014,2,45000,0.1,81000,34200
O20240114-000381,2024-01-14,S16,P023,5,42000,0.0,210000,138600
O20240114-000382,2024-01-14,ON1,P018,1,79000,0.1,71100,32390
O20240114-000383,2024-01-14,ON1,P026,3,12900,0.0,38700,18576
O20240114-000384,2024-01-14,ON1,P023,1,42000,0.0,42000,27720
