Month,Category,Amount
2026-02-01,Accessories,8900.0
2026-03-01,Camping,15800.0
2026-03-01,Climbing,6300.0
2026-03-01,Footwear,17900.0
2026-03-01,Apparel,25900.0
2026-03-01,Accessories,11600.0
2026-04-01,Camping,25800.0
2026-04-01,Climbing,3200.0
2026-04-01,Footwear,17000.0
2026-04-01,Apparel,21400.0
2026-04-01,Accessories,11000.0
2026-05-01,Camping,37300.0
2026-05-01,Climbing,6000.0
2026-05-01,Footwear,16200.0
2026-05-01,Apparel,15000.0
2026-05-01,Accessories,11100.0
2026-06-01,Camping,35900.0
2026-06-01,Climbing,7700.0
2026-06-01,Footwear,14900.0
2026-06-01,Apparel,9300.0
2026-06-01,Accessories,15400.0
2026-07-01,Camping,34100.0
2026-07-01,Climbing,5400.0
2026-07-01,Footwear,16500.0
2026-07-01,Apparel,10900.0
2026-07-01,Accessories,14600.0
2026-08-01,Camping,38700.0
2026-08-01,Climbing,6200.0
2026-08-01,Footwear,19800.0
2026-08-01,Apparel,11200.0
2026-08-01,Accessories,14000.0
2026-09-01,Camping,26500.0
2026-09-01,Climbing,6500.0
2026-09-01,Footwear,16000.0
2026-09-01,Apparel,18700.0
2026-09-01,Accessories,14300.0
2026-10-01,Camping,16100.0
2026-10-01,Climbing,6600.0
2026-10-01,Footwear,17500.0
2026-10-01,Apparel,24600.0
2026-10-01,Accessories,12900.0
2026-11-01,Camping,16000.0
2026-11-01,Climbing,6100.0
2026-11-01,Footwear,15400.0
2026-11-01,Apparel,32000.0
2026-11-01,Accessories,10700.0
2026-12-01,Camping,13300.0
2026-12-01,Climbing,6600.0
2026-12-01,Footwear,14900.0
2026-12-01,Apparel,32100.0
2026-12-01,Accessories,12800.0
